epoch,step,train_acc,train_loss,val_acc,val_loss
0,385,,,0.6812366843223572,1.1034595966339111
0,385,0.6362752914428711,1.3476582765579224,,
1,771,,,0.8326225876808167,0.6111416816711426
1,771,0.8910526037216187,0.3634675443172455,,
2,1157,,,0.8489694595336914,0.5572792887687683
2,1157,0.9302834272384644,0.23234471678733826,,
3,1543,,,0.8585643172264099,0.5465977787971497
3,1543,0.945263147354126,0.17475388944149017,,
4,1929,,,0.882018506526947,0.48816004395484924
4,1929,0.9542915225028992,0.14535878598690033,,
5,2315,,,0.890191912651062,0.43458813428878784
5,2315,0.9608097076416016,0.1215737909078598,,
6,2701,,,0.8841506838798523,0.4859628677368164
6,2701,0.9666801691055298,0.10179414600133896,,
7,3087,,,0.8738450407981873,0.5335224866867065
7,3087,0.96967613697052,0.09529189765453339,,
8,3473,,,0.8990760445594788,0.4534068703651428
8,3473,0.9735627770423889,0.07997851073741913,,
9,3859,,,0.8958777785301208,0.4722994863986969
9,3859,0.9762347936630249,0.07337747514247894,,
10,4245,,,0.9072494506835938,0.41013967990875244
10,4245,0.9774088859558105,0.06571326404809952,,
11,4631,,,0.9054726362228394,0.45054370164871216
11,4631,0.9799594879150391,0.061204344034194946,,
12,5017,,,0.9125799536705017,0.4522915780544281
12,5017,0.978299617767334,0.06363485008478165,,
13,5403,,,0.9040511846542358,0.47200867533683777
13,5403,0.9818623661994934,0.053768645972013474,,
14,5789,,,0.8994314074516296,0.5386680960655212
14,5789,0.9825910925865173,0.05222105234861374,,
15,6175,,,0.9189765453338623,0.43282827734947205
15,6175,0.9835222959518433,0.04906009882688522,,
16,6561,,,0.9090263247489929,0.4447462260723114
16,6561,0.9847368597984314,0.04575314000248909,,
17,6947,,,0.9196872711181641,0.413821816444397
17,6947,0.9855870604515076,0.04260659217834473,,
18,7333,,,0.8997867703437805,0.5107933878898621
18,7333,0.9861943125724792,0.03964570537209511,,
19,7719,,,0.9086709022521973,0.4554727375507355
19,7719,0.9855465292930603,0.041556257754564285,,
20,8105,,,0.9182658195495605,0.44792747497558594
20,8105,0.9883400797843933,0.035953931510448456,,
