epoch,step,train_acc,train_loss,val_acc,val_loss
0,414,,,0.9307641983032227,0.2595480978488922
0,414,0.9203149676322937,0.4685628414154053,,
1,829,,,0.9163945317268372,0.22469791769981384
1,829,0.9387762546539307,0.20459236204624176,,
2,1244,,,0.9382756352424622,0.19217108190059662
2,1244,0.947253406047821,0.15767061710357666,,
3,1659,,,0.9418680667877197,0.1833214908838272
3,1659,0.9521512985229492,0.1443248987197876,,
4,2074,,,0.9108425974845886,0.23377090692520142
4,2074,0.9559942483901978,0.12162704765796661,,
5,2489,,,0.9464402198791504,0.1477777361869812
5,2489,0.956371009349823,0.12424548715353012,,
6,2904,,,0.9497060775756836,0.1430417150259018
6,2904,0.9635671973228455,0.10128176957368851,,
7,3319,,,0.9483997225761414,0.1515498012304306
7,3319,0.967636227607727,0.09156873822212219,,
8,3734,,,0.9513390064239502,0.13677144050598145
8,3734,0.9697083830833435,0.08163134008646011,,
9,4149,,,0.9536250829696655,0.13101281225681305
9,4149,0.9698967933654785,0.07759261876344681,,
10,4564,,,0.9516655802726746,0.1503303200006485
10,4564,0.9736267328262329,0.07222781330347061,,
11,4979,,,0.948073148727417,0.15814504027366638
11,4979,0.9770929217338562,0.06456682831048965,,
12,5394,,,0.9565643668174744,0.15769298374652863
12,5394,0.9788637161254883,0.05936191603541374,,
13,5809,,,0.948073148727417,0.14337630569934845
13,5809,0.9797302484512329,0.05502711981534958,,
14,6224,,,0.9591770172119141,0.13928170502185822
14,6224,0.9794288277626038,0.05400901660323143,,
15,6639,,,0.961136519908905,0.14402152597904205
15,6639,0.9826689958572388,0.04559340327978134,,
16,7054,,,0.9588504433631897,0.1617075800895691
16,7054,0.9842890501022339,0.040733303874731064,,
17,7469,,,0.961136519908905,0.15724115073680878
17,7469,0.9861728549003601,0.037141527980566025,,
18,7884,,,0.9598301649093628,0.14357808232307434
18,7884,0.9851932525634766,0.03771228343248367,,
19,8299,,,0.9539516568183899,0.15300752222537994
19,8299,0.9885841012001038,0.029952721670269966,,
