Start frame,Key prediction,Idle Prob,Active Prob,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,comma,period,space,backspace
0,b,1.0,0.0,0.0,0.9247580766677856,8.632837974072942e-35,1.4523517761789437e-32,1.0323780571026368e-38,2.2539885798664683e-41,1.5745866645888435e-36,2.43027192667853e-41,0.0,1.0593603303245938e-35,1.9954490131985395e-42,3.9693937001635504e-38,9.320119677952231e-29,7.873206543035678e-24,1.0293464547382254e-30,0.0,0.0,1.758445803155664e-32,0.0,3.489803022597103e-36,1.4305856022292057e-41,5.887051030413562e-40,1.0735428992560051e-33,3.3018871497106615e-36,3.1093666403402892e-31,6.127519452085558e-39,3.1058370821946006e-29,7.143131104398742e-19,2.802596928649634e-45,2.035362223635052e-33
1,6,1.0,1.8104776159076637e-42,0.0,0.42030400037765503,4.188594307877865e-35,1.4936731209410333e-33,4.602452702197716e-40,2.6302372175376816e-42,8.799611212675079e-38,2.2186758585654829e-41,0.0,8.957650079476365e-36,1.4909815660416054e-42,2.6563022658051404e-37,2.8066200921362925e-30,7.698226840458276e-25,3.1469573627622124e-32,0.0,0.0,7.224144255529855e-34,0.0,5.173718589798611e-37,4.1478434544014585e-41,4.330138371625474e-40,1.9152008033710977e-34,2.269838050225122e-37,1.008783390999969e-31,8.557407422984863e-40,1.319915624380133e-29,3.818143698404424e-18,2.942726775082116e-44,8.395576263179594e-34
2,b,1.0,1.7516230804060213e-43,0.0,0.9912549257278442,1.80475726894776e-36,7.65858217200981e-35,1.6955711418330287e-42,5.044674471569341e-44,1.839612012279441e-39,2.367633885323211e-41,0.0,2.0741836018577423e-35,4.2010927960458016e-42,4.0923080904943545e-37,1.2271929309138247e-29,3.1506577595442524e-23,2.261467753863353e-32,0.0,0.0,1.8507946184112051e-35,0.0,2.2106180560839837e-37,7.971566574004587e-41,1.4295066024116756e-40,1.9865066752531179e-35,1.7615231139266297e-38,7.96483562908128e-31,7.670707793714049e-42,2.223312486173515e-29,9.38952036248051e-17,5.605193857299268e-45,7.538351140439768e-35
3,b,1.0,1.7288659933453863e-40,0.0,0.9732607007026672,1.3089778184597787e-35,1.0295121869520639e-34,4.2909160276090224e-41,2.0627113394861307e-42,7.673533708249145e-37,2.703945516761167e-41,0.0,2.6191793807791034e-36,9.96323208134945e-43,1.7210429644086002e-38,1.7147399898495768e-29,2.9622928031777192e-24,1.4431883569039024e-32,0.0,0.0,6.398757580953043e-34,0.0,1.0926446530408099e-36,1.820941111540777e-39,4.5425892318017595e-40,1.18562151016111e-34,5.985899700284255e-36,1.0058300789929631e-31,4.423613386986725e-39,1.1930201929455898e-28,2.701409091453638e-17,0.0,5.2737249985596486e-34
4,b,1.0,9.062108830933401e-37,0.0,0.8200464844703674,4.013248834657641e-34,1.8087216965403333e-32,2.942720609368873e-38,2.2646384481953369e-41,8.341215432220462e-37,2.556406725088107e-38,9.80908925027372e-45,3.000276128728135e-33,4.2141725159118094e-39,2.490750847360018e-35,1.3203376437791968e-27,3.112467710652796e-20,7.277555867522735e-30,1.401298464324817e-45,0.0,3.891822564105102e-34,4.203895392974451e-45,3.4319806535004432e-34,2.3772871501842517e-37,2.1390982487501423e-37,2.6264993043487765e-32,2.3722628535070545e-34,2.3526575274645504e-30,3.622330970595663e-37,6.101567064279882e-28,1.7186813337003007e-16,2.620428128287408e-43,1.608447375491444e-31
5,b,1.0,1.3455768465520677e-35,0.0,0.7644401788711548,1.0869967994431508e-33,6.290361940785858e-33,2.055016108969291e-38,4.193946173877745e-41,2.987023949513089e-36,3.117300761975456e-37,2.802596928649634e-45,7.628346492027043e-32,3.812987772067936e-39,7.461609382047193e-35,5.587270583790603e-28,2.449003266547632e-20,6.283105326162116e-30,8.407790785948902e-45,0.0,7.686878984263491e-34,4.203895392974451e-45,3.2963490388134464e-35,2.5221481838062517e-36,6.101216026133736e-36,4.892120043019386e-34,8.689163553725893e-35,2.742261351370015e-28,1.0754131660847005e-37,4.170664368776238e-28,3.3481912209388457e-15,2.2869190937781015e-42,7.493964565588214e-33
6,b,1.0,1.1962315758035617e-30,0.0,0.5112141370773315,1.2435227068298688e-32,4.399072081522365e-35,3.162164509401525e-38,2.8306228979361305e-43,5.368508941480949e-37,9.922597228480958e-39,3.0828566215145976e-44,7.106864931600701e-35,5.3285130807121905e-39,4.244655645239918e-36,3.698696698828431e-29,1.4925167547424849e-22,4.03546834479099e-31,0.0,0.0,9.679637073931639e-36,5.605193857299268e-44,2.5498060936433024e-36,1.8299684444037733e-36,5.298682575315275e-37,3.355318677195156e-34,6.26636760316008e-32,1.5546962506080037e-31,2.9968637283207703e-35,1.6730032655434956e-26,4.996024257241294e-16,9.528829557408756e-44,1.974087890825311e-32
7,b,1.0,1.4450949205788598e-31,0.0,0.9064756035804749,2.474404404550384e-33,4.391033534002805e-36,7.67337166209473e-39,2.1019476964872256e-44,3.8531063865821697e-38,7.1145184202388855e-40,4.203895392974451e-45,1.5632789168990212e-35,8.398878527715797e-40,1.9363489702059475e-37,1.6215568787559385e-29,3.674192241270143e-23,4.911734378491405e-32,0.0,0.0,1.1771961773604653e-36,5.605193857299268e-45,3.1472995352919672e-37,3.861687097598616e-37,7.421166244745242e-38,5.617698408044881e-35,5.451515947727627e-33,9.569315270328318e-33,2.2911978745610094e-36,4.9624466208333935e-27,8.970771757904115e-17,8.407790785948902e-45,4.07077330375406e-33
8,b,1.0,1.279974786648868e-32,0.0,0.9897291660308838,2.0196170737365126e-34,2.179504073397624e-37,4.222644766427117e-40,0.0,1.1863322734050685e-39,3.4697551275146795e-41,0.0,1.3896174196924088e-36,8.029300070734769e-41,4.838387923337621e-39,2.4912370266807302e-30,6.79089253651607e-24,3.884386552145694e-33,0.0,0.0,6.466387051922442e-38,0.0,2.317618600404683e-38,4.713471974332314e-38,5.010098833260591e-39,5.01284055778395e-36,2.20758068673166e-34,3.8019514292099306e-34,6.727570028013474e-38,5.400361490100252e-28,9.046882631298589e-18,0.0,6.602243918275035e-34
9,b,1.0,2.837462079615586e-33,0.0,0.998116135597229,1.515366186158956e-35,1.54825501648595e-38,5.521676468825509e-41,0.0,6.660932120321585e-41,3.265025421876824e-42,0.0,2.027294809994908e-37,7.484335097958848e-42,3.181465994449135e-40,9.336387391293035e-31,1.441481094767763e-24,1.3081238172221315e-33,0.0,0.0,5.990085703898437e-39,0.0,2.0659371285510065e-39,5.877141047673857e-39,4.9107383643491754e-40,8.197235490231278e-37,4.153241946645921e-35,2.686592338804338e-35,4.717877656704151e-39,7.255012406133852e-29,1.0328904013300385e-18,0.0,1.4599460757995303e-34
