epoch,step,train_acc,train_loss,val_acc,val_loss
0,414,,,0.9333550930023193,0.30020859837532043
0,414,0.9212945699691772,0.4602508544921875,,
1,829,,,0.9268212914466858,0.21405263245105743
1,829,0.9415266513824463,0.2026900351047516,,
2,1244,,,0.9387454986572266,0.19003890454769135
2,1244,0.9497400522232056,0.1558186262845993,,
3,1659,,,0.9364586472511292,0.22612516582012177
3,1659,0.9525280594825745,0.14181050658226013,,
4,2074,,,0.909996747970581,0.2207152098417282
4,2074,0.9567101001739502,0.12456715106964111,,
5,2489,,,0.9374387264251709,0.17236480116844177
5,2489,0.9586315751075745,0.12256992608308792,,
6,2904,,,0.9498530030250549,0.15374134480953217
6,2904,0.9642453193664551,0.10126679390668869,,
7,3319,,,0.9513230919837952,0.14668162167072296
7,3319,0.9660161137580872,0.09421884268522263,,
8,3734,,,0.9500163197517395,0.14137884974479675
8,3734,0.9698967933654785,0.08407491445541382,,
9,4149,,,0.9518131613731384,0.13945378363132477
9,4149,0.972006618976593,0.07681946456432343,,
10,4564,,,0.9532832503318787,0.13854296505451202
10,4564,0.9730238914489746,0.07392220944166183,,
11,4979,,,0.948056161403656,0.13787701725959778
11,4979,0.9758118987083435,0.06604906916618347,,
12,5394,,,0.9521397948265076,0.15426655113697052
12,5394,0.9780347943305969,0.06132874637842178,,
13,5809,,,0.9523031711578369,0.14667005836963654
13,5809,0.9799185991287231,0.05522891879081726,,
14,6224,,,0.9536099433898926,0.13150013983249664
14,6224,0.9793534874916077,0.05465340241789818,,
15,6639,,,0.9614505171775818,0.1266886442899704
15,6639,0.9825935959815979,0.04785850644111633,,
16,7054,,,0.96047043800354,0.13815999031066895
16,7054,0.9837992787361145,0.04500412568449974,,
17,7469,,,0.9594903588294983,0.1859610676765442
17,7469,0.9855323433876038,0.04091186821460724,,
18,7884,,,0.9591636657714844,0.14179281890392303
18,7884,0.9862481951713562,0.036973558366298676,,
19,8299,,,0.9545900225639343,0.14997592568397522
19,8299,0.9870770573616028,0.03427191451191902,,
20,8714,,,0.96047043800354,0.16383889317512512
20,8714,0.9867380261421204,0.03400621563196182,,
21,9129,,,0.9560601115226746,0.14477574825286865
21,9129,0.987604558467865,0.03086855448782444,,
22,9544,,,0.9531198740005493,0.16752149164676666
22,9544,0.9896390438079834,0.0270566213876009,,
23,9959,,,0.9523031711578369,0.15168410539627075
23,9959,0.9890739321708679,0.029313964769244194,,
24,10374,,,0.9498530030250549,0.18396513164043427
24,10374,0.9923140406608582,0.022251082584261894,,
25,10789,,,0.9547533392906189,0.15411217510700226
25,10789,0.9920503497123718,0.021637706086039543,,
