Start frame,Key prediction,Idle Prob,Active Prob,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,comma,period,space,backspace
0,6,1.0,0.0,6.617947289928422e-39,0.00122332782484591,5.170962785764401e-30,1.4598908561201412e-36,6.08596875089818e-35,1.215192769579139e-26,7.243401445196696e-38,5.084850019284179e-32,2.2077330670929145e-29,2.105011818042354e-28,9.266361310366246e-38,4.7732189728533214e-11,3.4363959166032923e-18,1.4610943136620788e-36,2.720830092824495e-18,1.6955711418330287e-43,2.8607801861349263e-37,0.0,1.1210387714598537e-44,4.263654037655888e-23,2.5030969359570098e-33,3.2447766949816034e-25,2.6750068823297877e-22,3.902477179572857e-28,4.187051258954472e-20,5.416766365764283e-30,2.7604888454312373e-15,4.702188107330585e-06,1.5540789588592578e-24,2.8010904476912214e-33
1,6,1.0,0.0,1.6815581571897805e-44,2.6990092383272213e-09,2.8500670524762474e-33,2.0544115888117813e-38,5.127586499106512e-39,2.7614465025110284e-30,3.546406153513247e-41,3.890361834442932e-36,1.22919809593655e-33,1.0273101547077228e-36,2.0335643314281745e-40,1.3399340751249498e-17,2.0293230638922498e-23,1.0550236008055115e-40,1.2402306279955556e-23,0.0,6.690359388072407e-41,0.0,0.0,3.0175564257744e-28,4.161464075474696e-40,2.292942242011863e-26,1.4066013941392622e-27,2.1198534855836326e-29,5.287249024923188e-23,3.92413993438058e-34,2.1204546235658705e-19,8.26687416438654e-12,2.409172380626096e-31,1.9235317135423077e-38
2,6,1.0,0.0,9.80908925027372e-45,5.54140448805196e-11,9.075658630050424e-32,3.791193991381539e-35,6.678004643979902e-37,2.9318721655412674e-31,4.04996275666837e-40,2.381839550881906e-32,4.084718266706262e-31,3.4102477259374695e-35,6.14915639720575e-37,6.136143574437587e-17,1.0392964116159469e-22,2.930655429591036e-37,3.84987724466138e-23,7.623063645927005e-43,8.036550276885309e-37,2.802596928649634e-45,0.0,2.123419299857053e-25,4.190198559201375e-35,7.917433906427377e-26,4.048488862004653e-27,9.546048954910218e-28,1.0472329505945808e-20,8.845722090264396e-33,2.4840436454217497e-18,2.6990824939648883e-12,7.940192377431546e-30,6.27865081428874e-36
3,6,1.0,6.712219644115874e-43,1.4492315598552046e-38,4.029111622116943e-08,7.438049778782877e-29,1.7783060740863943e-31,3.029257207263689e-34,4.571922724522083e-28,2.7554749158807855e-36,1.6108515369747513e-28,6.218306826376428e-28,5.8893899502751026e-30,9.24010029802848e-32,6.361029816081979e-15,3.6656389938074367e-19,7.72525812544019e-31,3.3041804289335633e-21,7.740363537778707e-38,1.1109412716875592e-28,6.704512502562087e-41,9.968837275206749e-41,4.747157930518519e-22,6.574417211926187e-33,6.1631393749929124e-21,1.8228265734927096e-23,1.9702615212348958e-23,8.385446524528284e-20,1.8016542591595454e-28,8.289892820052998e-15,3.6328673402863387e-09,3.5313102042424397e-25,2.0750592138794467e-29
4,6,1.0,2.2715048106705285e-42,9.551178866616273e-39,5.837931738028601e-08,5.741236284670345e-29,1.4833952301656568e-31,1.0236079681096964e-34,6.974648404486461e-28,1.3883968326780433e-36,1.1117466715161776e-28,6.319194740583209e-28,1.129008119569302e-29,6.448218930220989e-32,1.6929390018755736e-14,3.437852581661998e-19,1.0126111767644387e-30,9.743996976592867e-21,8.264820227269541e-38,2.620051948231409e-28,1.1080907736494923e-40,7.311975386846895e-41,8.720275948285574e-22,9.306777423279791e-33,9.008733578435526e-21,4.3466399960746036e-23,2.5210797040009412e-23,1.5161799282972478e-19,1.6120010764103074e-28,8.968676224862387e-15,6.464697666075381e-09,3.4633389904202027e-25,4.1904877249525727e-29
5,6,1.0,4.652310901558393e-43,1.5571112227804828e-38,1.9014453300769674e-07,7.874196475841918e-29,1.664962910439713e-31,1.1213334486081506e-34,1.3387876674604377e-27,6.258749595919174e-37,6.0365524841822295e-28,1.5640672560258098e-27,3.9317008192518136e-29,1.5949246060290194e-31,5.959511719831265e-14,1.2397604143137314e-18,4.416498914118507e-30,4.6288461622970566e-20,2.4219634599277327e-37,8.04627771451981e-28,1.1188947848094367e-40,2.3943286210685987e-40,1.8188180998651302e-21,3.2185302750479044e-32,2.8931016740257206e-20,1.1087542259254638e-22,7.418140612489721e-23,2.59014780865394e-19,3.988030839562427e-28,2.8533409359224327e-14,1.0486582269209066e-08,2.4173816601737754e-25,3.9424538277991244e-29
6,6,1.0,4.3019862854771884e-43,1.556092506822888e-37,6.343195195768203e-07,2.195431580777661e-28,5.744273668033322e-31,6.722262350671472e-34,4.042318952834814e-27,1.4439406267967087e-36,2.6169356972848933e-27,1.1682567783136532e-26,2.1108589413535135e-28,9.434287262806918e-31,2.1040898786749834e-13,9.327069384285614e-18,1.5335172043200294e-29,2.8821792710248407e-19,2.1473983749724802e-36,1.790992166542672e-27,6.2637620965780026e-40,1.0309717139638404e-39,6.593769278770592e-21,2.7244385549234125e-31,5.1058188598930194e-20,5.159637520640482e-22,2.297063748856146e-22,6.098059744765824e-19,1.3976810644158438e-27,5.85004999087077e-14,3.2296298968503834e-08,7.7363968614335265e-25,1.4612570952156602e-28
7,6,1.0,2.0038568039844884e-43,2.6578527072676202e-36,1.8835354467228171e-06,1.5500646860686451e-27,6.916672707131024e-30,9.942304035948045e-33,2.2949678580901716e-26,1.300320027059484e-35,2.35561939797321e-26,7.753683638835797e-26,1.652113743438897e-27,7.739748961520291e-30,8.036936459225597e-13,4.462772084493838e-17,9.425779805819961e-29,1.2460356132357118e-18,1.9612070005123305e-35,1.1829355230149927e-26,4.883816618252567e-39,1.450814466600506e-38,2.5685638230390758e-20,1.7655530183248882e-30,1.7241571742296313e-19,2.3921736158638947e-21,9.951618906446893e-22,1.4301681889391237e-18,1.5059437880842713e-26,1.9190229375194712e-13,8.874984303020028e-08,3.743994598468624e-24,5.240198748512579e-28
8,6,1.0,8.772128386673355e-43,2.4459161841638356e-35,3.543572802300332e-06,7.708940588442188e-27,4.943767676304138e-29,6.255342053896542e-32,1.7416167847059054e-25,1.2360130244354421e-34,8.837876810639254e-26,4.682639383384731e-25,7.933376138209433e-27,4.1590062935256866e-29,1.923117264393537e-12,1.8418044547264097e-16,6.578678170885418e-28,3.1805288940107864e-18,3.6201727072922836e-34,5.523749504586925e-26,4.96118230646794e-38,1.8421360871253214e-37,9.115145194361645e-20,7.395160221701034e-30,1.4980147835516419e-18,9.27045142398403e-21,4.855792129859573e-21,5.3081284193645544e-18,7.315992177442487e-26,3.168675174677893e-13,1.2891494804989634e-07,2.5308811429761312e-23,4.022725311952596e-27
9,6,1.0,1.4073240477214138e-41,2.9020760653444103e-34,2.493301963113481e-06,1.9985039150724045e-26,1.8119954196253112e-28,2.506038287308996e-31,7.279560608687118e-25,6.222567967331571e-34,2.8389314250725495e-25,1.3558827840183625e-24,3.0935017079382694e-26,1.6506589441071557e-28,3.882983778263904e-12,3.7327331146244245e-16,2.831952101473123e-27,6.7024071026813805e-18,3.611321785843569e-33,3.312811264195291e-25,3.2563837824031483e-37,2.6436379356455093e-36,1.8243562760145645e-19,2.3146166118651606e-29,4.1559878352185384e-18,2.916668889782666e-20,8.919666259744026e-21,1.1175927241182487e-17,1.8935255105530197e-25,4.580780741704482e-13,2.02513788849501e-07,1.0384549179111295e-22,1.6826264441408186e-26
10,6,1.0,2.5044832920507082e-39,2.738954734661717e-33,1.5516287703576381e-06,4.054773710673573e-26,6.677894859382957e-28,1.3444746730185294e-30,2.1473647782045843e-24,2.326880598206156e-33,6.222189200699241e-25,3.515133428089525e-24,1.054170481605426e-25,7.451605918178932e-28,6.710867105075291e-12,7.026397171918926e-16,9.78155166850989e-27,8.906754099629044e-18,2.372277639021936e-32,1.7701987437200666e-24,2.617106624932225e-36,2.0411390379456558e-35,4.489456600182553e-19,5.20433877554244e-29,6.496142585906076e-18,6.36912851171007e-20,1.3624902228492928e-20,1.4780632285358935e-17,6.792932530816972e-25,7.557785777420611e-13,3.328559614601545e-07,3.235036025906247e-22,7.523505120048785e-26
