epoch,step,train_acc,train_loss,val_acc,val_loss
0,385,,,0.7608386874198914,0.835936963558197
0,385,0.6974493861198425,1.1243746280670166,,
1,771,,,0.8393745422363281,0.5604543685913086
1,771,0.9081376791000366,0.307950496673584,,
2,1157,,,0.8621180057525635,0.505018949508667
2,1157,0.9359918832778931,0.21041877567768097,,
3,1543,,,0.8599857687950134,0.5417871475219727
3,1543,0.950931191444397,0.16050072014331818,,
4,1929,,,0.888059675693512,0.4313778281211853
4,1929,0.9543724656105042,0.14350295066833496,,
5,2315,,,0.888059675693512,0.45442232489585876
5,2315,0.9638056755065918,0.11282392591238022,,
6,2701,,,0.8653162717819214,0.5731498599052429
6,2701,0.9675708413124084,0.10006452351808548,,
7,3087,,,0.8962331414222717,0.4436682462692261
7,3087,0.9690688252449036,0.0951404720544815,,
8,3473,,,0.8912580013275146,0.4865173399448395
8,3473,0.97291499376297,0.08089397847652435,,
9,3859,,,0.9093816876411438,0.4136280417442322
9,3859,0.9771255254745483,0.0696965828537941,,
10,4245,,,0.8990760445594788,0.4537970721721649
10,4245,0.9772874712944031,0.06601816415786743,,
11,4631,,,0.901208221912384,0.46391138434410095
11,4631,0.9773279428482056,0.06707213073968887,,
12,5017,,,0.9072494506835938,0.46551093459129333
12,5017,0.9797165989875793,0.06175845488905907,,
13,5403,,,0.8919687271118164,0.529325008392334
13,5403,0.9826720356941223,0.05054193362593651,,
14,5789,,,0.9015635848045349,0.5049947500228882
14,5789,0.9797975420951843,0.06102455407381058,,
15,6175,,,0.9136460423469543,0.4311907887458801
15,6175,0.9864372611045837,0.04141265153884888,,
16,6561,,,0.9044065475463867,0.4633854031562805
16,6561,0.9848582744598389,0.044601548463106155,,
17,6947,,,0.9100924134254456,0.468262642621994
17,6947,0.9839271306991577,0.047645363956689835,,
18,7333,,,0.8916133642196655,0.5663900971412659
18,7333,0.9848988056182861,0.043067652732133865,,
19,7719,,,0.9140014052391052,0.44453391432762146
19,7719,0.9868825674057007,0.04002944007515907,,
