epoch,step,train_acc,train_loss,val_acc,val_loss
0,414,,,0.926192045211792,0.230058491230011
0,414,0.9247984290122986,0.4110945165157318,,
1,829,,,0.9252122640609741,0.21755149960517883
1,829,0.940961480140686,0.19286766648292542,,
2,1244,,,0.9448072910308838,0.22267833352088928
2,1244,0.9505312442779541,0.14929068088531494,,
3,1659,,,0.9421946406364441,0.17337018251419067
3,1659,0.9549016356468201,0.1301037073135376,,
4,2074,,,0.9170476794242859,0.20928944647312164
4,2074,0.9623615145683289,0.10592631250619888,,
5,2489,,,0.9467667937278748,0.18513043224811554
5,2489,0.9632657766342163,0.10662044584751129,,
6,2904,,,0.9539516568183899,0.14011114835739136
6,2904,0.9674854874610901,0.08924411237239838,,
7,3319,,,0.9490529298782349,0.14600537717342377
7,3319,0.9709140062332153,0.08355911821126938,,
8,3734,,,0.9506857991218567,0.134475439786911
8,3734,0.9736267328262329,0.07298082858324051,,
9,4149,,,0.9555845856666565,0.12828397750854492
9,4149,0.9740788340568542,0.07003103196620941,,
10,4564,,,0.9523187279701233,0.15828758478164673
10,4564,0.9758495688438416,0.06661862879991531,,
11,4979,,,0.9523187279701233,0.14172513782978058
11,4979,0.9796172380447388,0.058123499155044556,,
12,5394,,,0.9581972360610962,0.14968571066856384
12,5394,0.9786376357078552,0.057943303138017654,,
13,5809,,,0.9585238695144653,0.15254434943199158
13,5809,0.9816893935203552,0.04876108467578888,,
14,6224,,,0.9523187279701233,0.1419495940208435
14,6224,0.9824805855751038,0.046584367752075195,,
15,6639,,,0.9598301649093628,0.12783853709697723
15,6639,0.9827443361282349,0.04759730398654938,,
16,7054,,,0.9634225964546204,0.12942542135715485
16,7054,0.9852686524391174,0.03993147984147072,,
17,7469,,,0.9601567387580872,0.13765127956867218
17,7469,0.9870017170906067,0.03628494217991829,,
18,7884,,,0.9637491703033447,0.14444760978221893
18,7884,0.9867756962776184,0.03618495911359787,,
19,8299,,,0.9497060775756836,0.15559528768062592
19,8299,0.9886218309402466,0.031514834612607956,,
20,8714,,,0.9621162414550781,0.13482554256916046
20,8714,0.9887725114822388,0.03140591084957123,,
21,9129,,,0.9627694487571716,0.13738469779491425
21,9129,0.9889609217643738,0.030501993373036385,,
22,9544,,,0.9506857991218567,0.14605768024921417
22,9544,0.9891869425773621,0.030028199777007103,,
23,9959,,,0.9536250829696655,0.13498735427856445
23,9959,0.9899404644966125,0.025764383375644684,,
24,10374,,,0.9608099460601807,0.1609250009059906
24,10374,0.990882396697998,0.02361561544239521,,
25,10789,,,0.950032651424408,0.14913241565227509
25,10789,0.9916359186172485,0.021931828930974007,,
