Start frame,Key prediction,Idle Prob,Active Prob,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,comma,period,space,backspace
0,7,1.0,6.7279529371909015e-34,1.9328293615425934e-32,0.00015389166946988553,3.22155044400141e-28,2.718326736615521e-29,8.940265907039583e-35,0.0,2.9165364311415697e-31,3.88011405143061e-26,1.4950782040322506e-34,3.913656212965952e-38,2.937682758821346e-25,4.60974895159482e-28,4.202504998709948e-16,2.1094430401551998e-20,2.7894838578801754e-38,5.708429196724235e-38,1.0089348943138683e-43,4.623400656888969e-34,1.3314482207809091e-30,5.081743582607589e-35,0.0,3.973339756639089e-40,1.6347407754966883e-40,2.4745231662140154e-32,8.51566691104479e-15,4.591852093512206e-26,1.5690946383983828e-05,3.670751214011295e-16,4.783562993547473e-24,9.54109173912715e-31
1,7,1.0,3.8547255089029063e-31,2.7119070704430816e-29,6.490758096333593e-05,4.556312060839253e-26,5.404690056168861e-26,5.930824503959384e-32,3.4443916253104004e-42,2.941973545848166e-29,9.240595356394755e-25,1.6633282679954595e-31,2.057512662313332e-38,3.906646278642071e-24,5.160673807768625e-26,1.370546292516251e-16,1.1933146365091852e-18,6.310984657556341e-35,3.732103423408643e-38,2.7659838023737553e-38,2.3761347298605715e-32,1.050166746733097e-28,2.2484094809936558e-32,1.233142648605839e-43,1.2531510203453359e-35,1.7593773181438434e-34,6.661144685544756e-30,3.682440162804286e-14,2.3120519167287278e-24,4.200525381747866e-06,1.0717330004689739e-14,4.472421027512835e-23,4.384518955725516e-27
2,7,1.0,3.8908656877528356e-29,3.1167678661128405e-27,1.0797422874020413e-05,7.605905955682196e-26,1.885225091456381e-25,1.5482513207109763e-30,1.800051955333087e-40,1.3968089040312625e-30,1.347074501201323e-23,3.0033003744723732e-31,7.452385223922937e-36,3.7305196866933094e-22,4.089628482064874e-24,2.7240844281494316e-15,3.1299480403240876e-18,1.3455373228504087e-33,1.0484481209865832e-35,2.954790049094041e-37,5.5892794775401836e-33,1.0445800091504186e-27,7.104026640797568e-32,1.0257504758857661e-42,4.6673967472108584e-34,2.1853413291108806e-31,4.0248033422143415e-28,4.316842852825813e-15,8.999400148547299e-24,7.611174623889383e-07,7.771189155505662e-14,2.3680263942284623e-22,2.3237620515027163e-26
3,7,1.0,2.5620717477002416e-20,2.8703942794606744e-26,0.000847319548483938,3.1186984799188525e-25,2.1067514577906383e-24,2.504545503523e-28,7.52790090669532e-37,1.9875718600404013e-28,3.581742539452544e-21,5.979029651197622e-29,2.2980301556638866e-34,9.293310366341477e-21,9.13085217481542e-22,1.5335224884112202e-14,1.606694615405909e-14,5.2764522130444814e-30,2.621168731341385e-36,4.923504485876754e-31,1.591564572976629e-31,7.328236142248833e-28,1.2450766198485908e-29,8.179028811647876e-40,8.724648963928784e-32,7.132540607265464e-32,2.8708339461558187e-25,4.658547272813867e-16,7.311149581384161e-20,1.729337213873805e-06,4.0619892865967344e-11,3.0517873484251042e-21,9.991724847303819e-24
4,7,1.0,1.9719465584207066e-20,3.1038052790663456e-26,0.0003532951814122498,1.8964797946430724e-25,9.989939260644851e-25,1.3005177783508863e-28,8.990602700272571e-37,6.71280113591876e-29,1.7717271680348195e-21,6.45893889327111e-29,1.540115249703091e-34,6.0471402187794214e-21,3.456956103843615e-22,1.0004939720665088e-14,9.006082046846085e-15,4.6966859859985846e-30,1.5720841473185382e-36,6.2273905614755144e-31,6.985339327183743e-32,6.637002551838755e-28,5.428500996730123e-30,7.456449258518784e-40,5.790254775257827e-32,7.036582064671964e-32,1.4508067865221562e-25,3.797691277255969e-16,2.7550142105176495e-20,1.1336891247992753e-06,2.101413834609822e-11,1.2862340456482595e-21,2.530511561642035e-24
5,7,1.0,2.3245492581863406e-20,2.3908611426163765e-26,0.0001588512386661023,7.353787859266307e-26,4.665874116996521e-25,6.697350362939913e-29,4.237569604007071e-37,4.8647600114542973e-29,1.2075075953298261e-21,7.701548291536647e-29,1.0100011618214477e-34,5.5868671183722965e-21,1.4340593848752215e-22,3.46957083052215e-15,4.1706940940406615e-15,5.81167905317727e-30,3.49994869252812e-36,4.30447928658119e-31,5.92620774989653e-32,5.987162010758419e-28,2.039328661896937e-30,1.3068509478293244e-39,4.1990098191951867e-32,3.3016036363148663e-32,1.3750639369288114e-25,3.963747851400438e-16,2.0730349762993624e-20,4.961104878020706e-07,7.30800576304036e-12,6.516499987072734e-22,1.6263585365153593e-24
6,7,1.0,4.601082701297895e-21,4.5750604495874784e-26,0.0001142237670137547,1.355701962307744e-25,9.74444377478781e-25,1.0856599504194525e-28,3.658670114995797e-37,6.080482825843081e-29,1.864067464311195e-21,9.623185217707222e-29,1.4531294713028332e-34,5.718496272312632e-21,1.7230133284414157e-22,2.9086675186744838e-15,2.917490637369558e-15,4.855943089122565e-30,1.0539613358547618e-35,2.763467083260544e-31,8.401390956188532e-32,1.7607363848953317e-27,2.3836130897386526e-30,3.5184782751192534e-39,4.046839430618952e-32,4.022337720244e-32,1.6142346072187275e-25,7.684068492276239e-16,2.2465666443791905e-20,6.353454296004202e-07,5.66573697680095e-12,8.809263497362339e-22,5.0321303037694455e-24
7,7,1.0,2.7246269148440115e-21,1.1111061476612033e-25,0.00014134643424768,3.859148470500648e-25,2.5091190343990255e-24,1.9158290436820324e-28,4.588439493346713e-37,2.035752006864786e-28,2.205416589947308e-21,2.8276342146860554e-28,4.122308537297544e-34,1.8757234811957686e-20,3.024581820345213e-22,3.763376702013276e-15,3.108496355217166e-15,1.4312972688154616e-29,1.1900156090635295e-34,3.4764121652969767e-31,2.5983547957553437e-31,7.001856979775792e-27,4.261423561617916e-30,1.167735361225321e-38,1.042423453232931e-31,7.557433032072162e-32,6.810609424588778e-25,6.397419092649852e-16,8.259427496910391e-20,4.2984035530935216e-07,6.751470042754004e-12,4.565865325159737e-21,1.344532160275977e-23
8,7,1.0,2.416991053724403e-21,8.343194093148252e-25,0.00043349983752705157,4.734140463404924e-24,3.0298222548930324e-23,1.4565414316727038e-27,5.33817856489584e-36,2.2068564860972578e-27,1.3418335680934116e-20,1.766291922412911e-27,6.667523711351005e-33,7.455993430286171e-20,1.871740695403618e-21,2.154121675414407e-14,1.6680626606542515e-14,6.814933802722723e-29,9.07453169830997e-34,1.660776034660954e-30,2.7758495996927838e-30,6.113422414942049e-26,3.5609878929798827e-29,5.337888327957909e-38,8.102192614172605e-31,7.730046149029959e-31,6.419539815257353e-24,1.2076378486691503e-15,7.454944591118848e-19,1.186304302791541e-06,2.3197829074339538e-11,9.307245613164868e-20,1.0922593337239097e-22
9,7,1.0,4.468803677432952e-21,5.183175079013923e-24,0.0006461184239014983,2.9716040045433597e-23,1.4727583765304677e-22,1.081914411493258e-26,9.201967798525457e-35,1.0648564499758202e-26,3.2570194614009983e-20,8.566780600551373e-27,5.067936418817372e-32,2.191930654061724e-19,1.0372125945140385e-20,8.108227630976295e-14,4.7400349975374595e-14,5.525896492770329e-28,6.253648313473801e-33,1.58285080262517e-29,1.9679818724065466e-29,2.560322516642724e-25,2.063404027523812e-28,3.2033667199922518e-37,8.036137542899334e-30,1.1630498341160079e-29,3.805497823399818e-23,1.789325972613898e-15,3.3299268116246013e-18,1.8746841305983253e-06,8.597821760103486e-11,3.910521161262815e-19,3.693598724409559e-22
