epoch,step,train_acc,train_loss,val_acc,val_loss
0,385,,,0.7509775757789612,0.8872740268707275
0,385,0.6935627460479736,1.1303083896636963,,
1,771,,,0.8240312933921814,0.6426198482513428
1,771,0.9072064757347107,0.3064384460449219,,
2,1157,,,0.8679345846176147,0.4934520721435547
2,1157,0.9379352331161499,0.20725886523723602,,
3,1543,,,0.8613579869270325,0.5764567255973816
3,1543,0.9467206597328186,0.1675553321838379,,
4,1929,,,0.8846427202224731,0.4649629592895508
4,1929,0.956032395362854,0.13899952173233032,,
5,2315,,,0.8652684092521667,0.5340908169746399
5,2315,0.9632793664932251,0.11405292898416519,,
6,2701,,,0.8670458793640137,0.593964695930481
6,2701,0.9667206406593323,0.1012401133775711,,
7,3087,,,0.8844649791717529,0.5025166273117065
7,3087,0.9712550640106201,0.09000492095947266,,
8,3473,,,0.8841094970703125,0.5313653349876404
8,3473,0.9737247228622437,0.0792955681681633,,
9,3859,,,0.8986846804618835,0.46407556533813477
9,3859,0.9749392867088318,0.0746711790561676,,
10,4245,,,0.8892641067504883,0.4925839900970459
10,4245,0.9787044525146484,0.0661986917257309,,
11,4631,,,0.8896196484565735,0.485411673784256
11,4631,0.9793117642402649,0.06328977644443512,,
12,5017,,,0.8913970589637756,0.5493230819702148
12,5017,0.9786235094070435,0.06496010720729828,,
13,5403,,,0.891930341720581,0.5366248488426208
13,5403,0.9821862578392029,0.054057102650403976,,
14,5789,,,0.9041948318481445,0.47681984305381775
14,5789,0.980526328086853,0.05593940615653992,,
15,6175,,,0.9093494415283203,0.46545249223709106
15,6175,0.9839676022529602,0.04875937104225159,,
16,6561,,,0.9043725728988647,0.5024528503417969
16,6561,0.983117401599884,0.048879947513341904,,
17,6947,,,0.9050835371017456,0.5021004676818848
17,6947,0.9842914938926697,0.046897970139980316,,
18,7333,,,0.9184145331382751,0.441371351480484
18,7333,0.985991895198822,0.04151197522878647,,
19,7719,,,0.908282995223999,0.5089207291603088
19,7719,0.9841700196266174,0.04509823024272919,,
20,8105,,,0.9130821228027344,0.4846196174621582
20,8105,0.9880566596984863,0.0355631560087204,,
21,8491,,,0.9125488996505737,0.4595375657081604
21,8491,0.9872469902038574,0.03820240870118141,,
22,8877,,,0.9024173617362976,0.5004199147224426
22,8877,0.9891902804374695,0.033816561102867126,,
23,9263,,,0.9052612781524658,0.4916335940361023
23,9263,0.9880566596984863,0.03688884153962135,,
24,9649,,,0.9113046526908875,0.4907275140285492
24,9649,0.9873684048652649,0.03890276700258255,,
25,10035,,,0.9161037802696228,0.4391435384750366
25,10035,0.9897975921630859,0.03336048126220703,,
26,10421,,,0.916281521320343,0.4976831376552582
26,10421,0.9900404810905457,0.03166088089346886,,
27,10807,,,0.8981514573097229,0.5638618469238281
27,10807,0.9890688061714172,0.033253684639930725,,
28,11193,,,0.9081052541732788,0.5209152698516846
28,11193,0.9900000095367432,0.029403891414403915,,
29,11579,,,0.8913970589637756,0.5870619416236877
29,11579,0.9889473915100098,0.03254004940390587,,
30,11965,,,0.9057945013046265,0.4999089241027832
30,11965,0.9910526275634766,0.02834184095263481,,
31,12351,,,0.9193032383918762,0.48456907272338867
31,12351,0.9927125573158264,0.02226446382701397,,
32,12737,,,0.9097049236297607,0.5227406620979309
32,12737,0.9897165894508362,0.0303952656686306,,
33,13123,,,0.9271240830421448,0.44586366415023804
33,13123,0.991457462310791,0.027689360082149506,,
34,13509,,,0.9132598638534546,0.49463072419166565
34,13509,0.9922671914100647,0.025676704943180084,,
35,13895,,,0.910949170589447,0.5490994453430176
35,13895,0.9928340315818787,0.021744810044765472,,
