epoch,step,train_acc,train_loss,val_acc,val_loss
0,414,,,0.923717737197876,0.25484922528266907
0,414,0.9246100783348083,0.4078710079193115,,
1,829,,,0.9348252415657043,0.20038601756095886
1,829,0.9413005709648132,0.19615116715431213,,
2,1244,,,0.9446259140968323,0.18647250533103943
2,1244,0.9524903893470764,0.15273016691207886,,
3,1659,,,0.9400522708892822,0.2043842226266861
3,1659,0.9540727734565735,0.13994736969470978,,
4,2074,,,0.9361319541931152,0.18055503070354462
4,2074,0.95957350730896,0.1146063283085823,,
5,2489,,,0.9478928446769714,0.13196305930614471
5,2489,0.9621354937553406,0.10905681550502777,,
6,2904,,,0.9465860724449158,0.14759311079978943
6,2904,0.967447817325592,0.08774904161691666,,
7,3319,,,0.9462593793869019,0.160924032330513
7,3319,0.9700851440429688,0.08360172808170319,,
8,3734,,,0.9534465670585632,0.14153634011745453
8,3734,0.9727601408958435,0.07634259760379791,,
9,4149,,,0.9536099433898926,0.15757641196250916
9,4149,0.9764524102210999,0.06623926758766174,,
10,4564,,,0.9469127655029297,0.1446976661682129
10,4564,0.9753597974777222,0.06811250746250153,,
11,4979,,,0.9594903588294983,0.12349870800971985
11,4979,0.9805591106414795,0.05374201014637947,,
12,5394,,,0.9523031711578369,0.1521063596010208
12,5394,0.9786753058433533,0.05965052917599678,,
13,5809,,,0.9540999531745911,0.13755424320697784
13,5809,0.9818400740623474,0.05003352090716362,,
14,6224,,,0.9537732601165771,0.16155333817005157
14,6224,0.9820284843444824,0.04928605630993843,,
15,6639,,,0.9590003490447998,0.15806524455547333
15,6639,0.9841383695602417,0.04491300880908966,,
16,7054,,,0.9634106755256653,0.143998384475708
16,7054,0.9861351847648621,0.03672107309103012,,
17,7469,,,0.956550121307373,0.1517002433538437
17,7469,0.986059844493866,0.03847949579358101,,
18,7884,,,0.9560601115226746,0.17365114390850067
18,7884,0.9880566596984863,0.03333856165409088,,
19,8299,,,0.9509963989257812,0.16074983775615692
19,8299,0.9882450699806213,0.03132771700620651,,
20,8714,,,0.954426646232605,0.16852504014968872
20,8714,0.9885841012001038,0.030345244333148003,,
21,9129,,,0.9521397948265076,0.17282389104366302
21,9129,0.9897521138191223,0.02808944508433342,,
