Start frame,Key prediction,Idle Prob,Active Prob,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,comma,period,space,backspace
0,6,1.0,5.4090254063257e-29,2.1019476964872256e-44,0.00019826459174510092,1.1116586938822764e-34,6.730436524152096e-42,0.0,0.0,6.459985920537407e-43,8.339064806902849e-28,4.801530295366778e-34,8.828180325246348e-44,9.316799086771768e-40,1.3559556746109278e-36,2.651944202430867e-12,5.335072170148522e-15,1.423987100784986e-28,0.0,2.2457204705114433e-37,1.807675018979014e-43,0.0,2.802596928649634e-45,0.0,1.783852945085492e-42,0.0,1.0512541079364778e-41,2.4258788024447297e-22,6.279879167810352e-29,5.881239939498073e-12,7.265106014497914e-23,4.655669538022475e-33,8.001619198307211e-31
1,6,1.0,3.839935975006284e-29,2.802596928649634e-45,2.093216693310751e-07,4.860830426740286e-35,2.351378823137043e-42,0.0,0.0,2.802596928649634e-42,3.0913361537902015e-27,3.7239194509729586e-33,6.726232628759122e-44,4.257574933247342e-39,3.0234921478965936e-36,1.301407339369693e-14,3.273850368471447e-16,1.3001209645599696e-27,0.0,1.1414535601114005e-37,2.5223372357846707e-44,0.0,2.802596928649634e-45,0.0,2.7259459026510666e-41,0.0,1.0904904649375726e-41,4.4378737464307174e-20,5.3499065040386645e-30,9.610419014413618e-13,2.8949651026389163e-24,1.0018773938313118e-34,4.3865293800157613e-32
2,6,1.0,9.885175943981656e-27,1.8637269575520067e-43,2.7434145977167645e-07,2.2138284851240284e-34,2.7443449514876515e-40,0.0,0.0,1.202874601776423e-41,1.049536047046769e-25,8.774691374748021e-33,5.240575996881951e-41,2.319220615255844e-36,5.473948879880628e-35,2.1063050392386429e-13,6.32896453683072e-15,6.821958174786513e-27,0.0,5.209167629414206e-36,1.4573504028978098e-43,0.0,4.428103147266422e-43,0.0,5.3879925953289216e-42,0.0,1.6825951180533808e-40,1.928522174125784e-18,2.235081197071575e-30,3.5675559728609585e-12,2.38892562308161e-23,8.489552444753028e-33,3.565088167738828e-30
3,6,1.0,1.2526741199145119e-23,1.0654633012696619e-35,0.0048902202397584915,1.2108145819255126e-28,1.3097939375552607e-33,5.777036489277885e-39,0.0,2.5350921907185867e-37,4.214673979595077e-23,1.3706307764938175e-28,1.0070883694720566e-34,1.650218038275456e-32,5.070214832497797e-30,7.956762360095126e-09,2.2653530093452723e-11,5.431849279888553e-24,0.0,1.500491455434807e-30,1.1100459773707955e-37,8.561022773022821e-40,2.885498194214599e-36,0.0,8.567735216874691e-37,0.0,5.740843494702386e-35,7.346864675974302e-17,7.42665950168368e-26,7.02561209209307e-08,1.6405770873784717e-17,2.071155539252931e-25,1.3603103250134834e-23
4,6,1.0,2.783737292724564e-26,5.7205109118239505e-39,8.159575486388349e-07,1.1021571390654463e-30,1.4658089543193304e-36,2.620428128287408e-42,0.0,2.037190891853847e-39,2.312662495069369e-24,2.929006921571025e-30,8.83505649681079e-39,1.1107653640933996e-34,9.83633239370195e-35,9.208091103843352e-13,5.500631535952953e-15,7.285610555532581e-26,0.0,8.67957661669322e-34,5.41352425334892e-40,9.90451767569424e-41,5.110140333225668e-39,0.0,1.3223385188465816e-38,0.0,7.151276721035668e-38,2.896989991591391e-17,2.6944307608305365e-29,3.010208055043151e-11,1.5213818694621183e-22,6.872128505393055e-29,1.2141617807613096e-26
5,6,1.0,2.978557428458761e-21,1.779292419233347e-38,1.3725162943956093e-06,2.1812509285044824e-29,2.1942059946599504e-34,2.0335082794896015e-40,0.0,1.0206943107667893e-38,3.0132574380608395e-23,5.8010326478616465e-30,8.753621740535485e-35,1.1472282116243232e-33,4.13482782764029e-33,3.703408673477737e-12,2.257279107555077e-14,2.092186570986123e-25,0.0,2.5575503893277075e-32,3.83177610161791e-38,1.8517444543835652e-39,2.754362666053294e-37,0.0,6.26592962504262e-38,0.0,2.2683676060893735e-36,1.4950026963408974e-16,1.1205696123789863e-29,1.333076444370862e-11,1.783432500716655e-21,8.031976240235276e-28,3.1360751135086083e-25
6,2,1.0,1.102586158201919e-18,1.1445121395172803e-35,0.0013581895036622882,4.2625463456735725e-27,1.4766212088701732e-31,1.1357169805100861e-37,2.802596928649634e-45,4.771999278616567e-37,9.808932270265413e-21,1.0370298582118102e-28,5.680325364755369e-31,1.0473654665826582e-30,2.377681849932539e-28,3.3636577967399717e-09,1.0933051686201622e-10,5.12593138742656e-25,0.0,7.465937394840881e-30,6.223405261324834e-38,1.2879460302471183e-39,1.3798200645791637e-33,0.0,5.171962056568386e-36,3.6433760072445244e-44,6.733616615909957e-33,2.2364099733280965e-16,5.443341775334362e-26,1.875102295656461e-09,4.322006259793157e-16,2.4639736033139958e-26,2.1214113096430764e-21
7,8,1.0,7.227517485551987e-19,4.060375166564668e-36,0.002130832988768816,1.6104311305420159e-27,5.344403873923143e-32,3.838098480029251e-38,1.401298464324817e-45,1.2233332230439339e-37,6.476270453800065e-21,3.4321410732145e-29,1.8597104684740587e-31,4.369055303842483e-31,9.108612245900302e-29,3.624851530048545e-09,1.2750876743350403e-10,1.4682077022366509e-25,0.0,2.0163196295134897e-30,1.5164050438201577e-38,2.6449508514130922e-40,6.119581346052596e-34,0.0,1.3213826595329025e-36,7.006492321624085e-45,2.5591805061187104e-33,8.054425045784811e-17,2.620988508704065e-26,1.881215627719257e-09,3.719983415883675e-16,5.503959572924775e-27,1.0450884808175692e-21
8,8,1.0,3.852661945366262e-19,7.607671335179352e-37,0.0024886082392185926,5.025452263406055e-28,8.901617581329965e-33,5.4714483266702504e-39,0.0,1.6401661827610147e-38,3.3742625793179083e-21,9.631826173236614e-30,2.66374366736023e-32,9.968773964676655e-32,2.991563834503707e-29,3.6171858841527182e-09,1.3992379477301142e-10,3.0596737499486787e-26,0.0,4.6407783461989e-31,3.333267255790978e-39,2.324614022468439e-41,1.4015632662382701e-34,0.0,1.9320654810601994e-37,1.401298464324817e-45,3.867066010228312e-34,1.090357719731879e-17,4.897126010467578e-27,1.7929232543067997e-09,3.4793244149097834e-16,7.085347487312437e-28,4.14503239224908e-22
9,8,1.0,1.0098846473385605e-19,1.2565114865240597e-37,0.001514870673418045,1.1211520707702142e-28,1.9690222815914347e-33,7.146552103133351e-40,0.0,3.8334130984839345e-39,1.9912567828592016e-21,2.399238512966167e-30,5.7320432664475504e-33,3.957271463063697e-32,7.316513819179043e-30,1.8470965867933842e-09,8.611560770033222e-11,9.751306094291254e-27,0.0,1.090222815119288e-31,5.630403216672472e-40,2.8138073163642327e-42,3.2979917462509725e-35,0.0,4.1785828980342734e-38,0.0,9.042217083099377e-35,7.059387649376603e-18,8.904098948812037e-28,1.263103732718207e-09,1.5258278134782575e-16,1.2552094338148259e-28,1.1439750351862818e-22
