epoch,step,train_acc,train_loss,val_acc,val_loss
0,385,,,0.8088130950927734,0.6709606647491455
0,385,0.7201619148254395,1.0453846454620361,,
1,771,,,0.8678038120269775,0.4853043556213379
1,771,0.9204858541488647,0.2639594078063965,,
2,1157,,,0.8990760445594788,0.40757057070732117
2,1157,0.9442914724349976,0.1857520341873169,,
3,1543,,,0.8948116302490234,0.43494537472724915
3,1543,0.9523886442184448,0.1497965157032013,,
4,1929,,,0.9115138649940491,0.36326730251312256
4,1929,0.9625101089477539,0.12340385466814041,,
5,2315,,,0.893034815788269,0.4463508427143097
5,2315,0.9680971503257751,0.10270942747592926,,
6,2701,,,0.8909026384353638,0.4532899260520935
6,2701,0.9704858064651489,0.08888203650712967,,
7,3087,,,0.8859274983406067,0.47777673602104187
7,3087,0.9724291563034058,0.08500027656555176,,
8,3473,,,0.8951669931411743,0.4604558050632477
8,3473,0.9727125763893127,0.079684779047966,,
9,3859,,,0.9100924134254456,0.43343958258628845
9,3859,0.9765182137489319,0.07201578468084335,,
10,4245,,,0.9196872711181641,0.3951414227485657
10,4245,0.978097140789032,0.07005655020475388,,
11,4631,,,0.9225302338600159,0.37662720680236816
11,4631,0.9788259267807007,0.06578940153121948,,
12,5017,,,0.9051172733306885,0.4332898259162903
12,5017,0.9778137803077698,0.06537311524152756,,
13,5403,,,0.8994314074516296,0.47582703828811646
13,5403,0.9812145829200745,0.05230364575982094,,
14,5789,,,0.9289267659187317,0.3761938214302063
14,5789,0.9819837808609009,0.05538376048207283,,
