epoch,step,train_acc,train_loss,val_acc,val_loss
0,414,,,0.9376224875450134,0.259555846452713
0,414,0.9269083142280579,0.3558448851108551,,
1,829,,,0.93925541639328,0.1796252727508545
1,829,0.9509456753730774,0.15460927784442902,,
2,1244,,,0.9529719352722168,0.13439923524856567
2,1244,0.9599125981330872,0.12012404203414917,,
3,1659,,,0.9578706622123718,0.12242700904607773
3,1659,0.9636425375938416,0.10844926536083221,,
4,2074,,,0.9529719352722168,0.1232210323214531
4,2074,0.9716675281524658,0.07965612411499023,,
5,2489,,,0.9575440883636475,0.1416574865579605
5,2489,0.9715921878814697,0.08453065901994705,,
6,2904,,,0.9637491703033447,0.10318784415721893
6,2904,0.9759626388549805,0.06919100135564804,,
7,3319,,,0.9663618803024292,0.13596229255199432
7,3319,0.9760756492614746,0.06724240630865097,,
8,3734,,,0.9546048045158386,0.11347483843564987
8,3734,0.9812372922897339,0.054377179592847824,,
9,4149,,,0.9644023776054382,0.09731569141149521
9,4149,0.9816140532493591,0.05130889639258385,,
10,4564,,,0.9608099460601807,0.13022246956825256
10,4564,0.982857346534729,0.04818740114569664,,
11,4979,,,0.9627694487571716,0.10704152286052704
11,4979,0.983045756816864,0.04656413197517395,,
12,5394,,,0.9634225964546204,0.11170396208763123
12,5394,0.9819154739379883,0.04903307929635048,,
13,5809,,,0.9519921541213989,0.12145569175481796
13,5809,0.9839499592781067,0.044258467853069305,,
14,6224,,,0.9660352468490601,0.11550797522068024
14,6224,0.984552800655365,0.04200148209929466,,
15,6639,,,0.9624428749084473,0.1447944939136505
15,6639,0.987642228603363,0.036253415048122406,,
16,7054,,,0.9663618803024292,0.13060212135314941
16,7054,0.9872277975082397,0.03372518718242645,,
17,7469,,,0.9653820991516113,0.20851923525333405
17,7469,0.9870393872261047,0.036632660776376724,,
18,7884,,,0.9676681756973267,0.13965627551078796
18,7884,0.9885464310646057,0.03211413696408272,,
19,8299,,,0.9572175145149231,0.17899809777736664
19,8299,0.9891869425773621,0.02896483987569809,,
