epoch,step,train_acc,train_loss,val_acc,val_loss
0,532,,,0.9273322224617004,0.231922447681427
0,532,0.8953502178192139,0.3406280279159546,,
1,1065,,,0.9355801939964294,0.20123858749866486
1,1065,0.9412317276000977,0.18601958453655243,,
2,1598,,,0.9542093276977539,0.1752709299325943
2,1598,0.9522984623908997,0.14833438396453857,,
3,2131,,,0.9525028467178345,0.16903746128082275
3,2131,0.9571419954299927,0.13405504822731018,,
4,2664,,,0.9577645063400269,0.12884628772735596
4,2664,0.9631010293960571,0.11657259613275528,,
5,3197,,,0.9611774682998657,0.13112857937812805
5,3197,0.9665648937225342,0.10323350131511688,,
6,3730,,,0.9635949730873108,0.1101314052939415
6,3730,0.9691774845123291,0.09337656199932098,,
7,4263,,,0.9689988493919373,0.10522577911615372
7,4263,0.9719074964523315,0.08509297668933868,,
8,4796,,,0.9576222896575928,0.13213670253753662
8,4796,0.9751365184783936,0.07791123539209366,,
9,5329,,,0.969852089881897,0.10913781821727753
9,5329,0.9749016761779785,0.07262328267097473,,
10,5862,,,0.9641638398170471,0.10767913609743118
10,5862,0.9779545664787292,0.06608884036540985,,
11,6395,,,0.9624573588371277,0.11525008827447891
11,6395,0.9786003828048706,0.06307325512170792,,
12,6928,,,0.9671501517295837,0.11366230249404907
12,6928,0.9807139039039612,0.05651684105396271,,
