epoch,step,train_acc,train_loss,val_acc,val_loss
0,385,,,0.6488983631134033,1.2401163578033447
0,385,0.631902813911438,1.3295248746871948,,
1,771,,,0.7686567306518555,0.7969629764556885
1,771,0.8578947186470032,0.47125640511512756,,
2,1157,,,0.7928215861320496,0.7506126761436462
2,1157,0.9081781506538391,0.3073391318321228,,
3,1543,,,0.8081023693084717,0.7236682772636414
3,1543,0.9242105484008789,0.24661307036876678,,
4,1929,,,0.8276474475860596,0.6339558362960815
4,1929,0.9351012110710144,0.2104429304599762,,
5,2315,,,0.8542999029159546,0.5407721996307373
5,2315,0.9463157653808594,0.1711888164281845,,
6,2701,,,0.8120113611221313,0.730880856513977
6,2701,0.9495951533317566,0.15694494545459747,,
7,3087,,,0.8571428656578064,0.553451418876648
7,3087,0.9546154141426086,0.13940425217151642,,
8,3473,,,0.8351101875305176,0.6146722435951233
8,3473,0.9571660161018372,0.13014551997184753,,
9,3859,,,0.871712863445282,0.5238814353942871
9,3859,0.9628340005874634,0.1169843003153801,,
10,4245,,,0.8386638164520264,0.6508936882019043
10,4245,0.9653846025466919,0.10524147003889084,,
11,4631,,,0.8752665519714355,0.5333011746406555
11,4631,0.9685829877853394,0.09778162091970444,,
12,5017,,,0.8678038120269775,0.5756772756576538
12,5017,0.9690283536911011,0.09467027336359024,,
13,5403,,,0.8518123626708984,0.6309804320335388
13,5403,0.9711335897445679,0.08562832325696945,,
14,5789,,,0.8656716346740723,0.5989986062049866
14,5789,0.9711335897445679,0.0825304463505745,,
15,6175,,,0.8884150385856628,0.5293397307395935
15,6175,0.9763157963752747,0.07174376398324966,,
16,6561,,,0.8855721354484558,0.5522223711013794
16,6561,0.9764372706413269,0.07017332315444946,,
17,6947,,,0.8869935870170593,0.523718535900116
17,6947,0.9755465388298035,0.0722256749868393,,
18,7333,,,0.8894811868667603,0.49427223205566406
18,7333,0.9768421053886414,0.06745133548974991,,
19,7719,,,0.8770433664321899,0.5662047266960144
19,7719,0.9795951247215271,0.06209461763501167,,
20,8105,,,0.8766880035400391,0.5602296590805054
20,8105,0.9795141816139221,0.05997955799102783,,
21,8491,,,0.8937455415725708,0.5125740170478821
21,8491,0.9806478023529053,0.05913551151752472,,
22,8877,,,0.8855721354484558,0.5524824261665344
22,8877,0.9841700196266174,0.047360870987176895,,
23,9263,,,0.8610518574714661,0.6336743831634521
23,9263,0.9821052551269531,0.05241263285279274,,
24,9649,,,0.890191912651062,0.5588874220848083
24,9649,0.9808096885681152,0.05821145698428154,,
25,10035,,,0.8884150385856628,0.5495302677154541
25,10035,0.9826315641403198,0.052513379603624344,,
26,10421,,,0.8859274983406067,0.5792828798294067
26,10421,0.986275315284729,0.04415833577513695,,
27,10807,,,0.8894811868667603,0.5440089702606201
27,10807,0.9846963286399841,0.04746183753013611,,
28,11193,,,0.9022743701934814,0.4975789785385132
28,11193,0.9833198189735413,0.04806385561823845,,
