epoch,step,train_acc,train_loss,val_acc,val_loss
0,414,,,0.9343566298484802,0.2752118706703186
0,414,0.9211438298225403,0.5057379603385925,,
1,829,,,0.9307641983032227,0.2756209969520569
1,829,0.9414135813713074,0.19700190424919128,,
2,1244,,,0.9386022090911865,0.20469911396503448
2,1244,0.9477808475494385,0.15749499201774597,,
3,1659,,,0.935009777545929,0.20375016331672668
3,1659,0.9508703351020813,0.14076700806617737,,
4,2074,,,0.857282817363739,0.36795341968536377
4,2074,0.954826295375824,0.1282493770122528,,
5,2489,,,0.9467667937278748,0.16947497427463531
5,2489,0.9575766921043396,0.1207272931933403,,
6,2904,,,0.9457870721817017,0.24561260640621185
6,2904,0.962662935256958,0.1045251414179802,,
7,3319,,,0.9506857991218567,0.14175428450107574
7,3319,0.9637555480003357,0.10019980370998383,,
8,3734,,,0.9425212144851685,0.18976803123950958
8,3734,0.9662798643112183,0.09335222840309143,,
9,4149,,,0.9470934271812439,0.1589932143688202
9,4149,0.9678999185562134,0.08742344379425049,,
10,4564,,,0.9503592252731323,0.14892937242984772
10,4564,0.9678999185562134,0.08958099037408829,,
11,4979,,,0.9441541433334351,0.16104090213775635
11,4979,0.970650315284729,0.07964400202035904,,
12,5394,,,0.9402351379394531,0.1822555661201477
12,5394,0.9735890030860901,0.07246178388595581,,
13,5809,,,0.9483997225761414,0.155670166015625
13,5809,0.9759249687194824,0.06849806010723114,,
14,6224,,,0.9506857991218567,0.19002564251422882
14,6224,0.9728732109069824,0.07196712493896484,,
15,6639,,,0.9369692802429199,0.30727627873420715
15,6639,0.976716160774231,0.06221415102481842,,
16,7054,,,0.9542782306671143,0.1503298431634903
16,7054,0.9773943424224854,0.05960019677877426,,
17,7469,,,0.9529719352722168,0.1587243527173996
17,7469,0.9775826930999756,0.058517277240753174,,
