Start frame,Key prediction,Idle Prob,Active Prob,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,comma,period,space,backspace
0,7,1.0,3.7043461350900314e-20,2.9975089928637247e-15,7.146580571770755e-08,4.502308248444109e-12,1.1535212164430266e-20,2.8830898417828967e-18,2.717010172755725e-19,7.414658016698984e-16,2.9470036061730315e-19,1.160237812942999e-13,3.4972139102855574e-25,2.7665250732639146e-13,2.4190762240583474e-12,6.67606201432136e-08,3.3878088577060607e-16,1.795137705151717e-09,4.686122765161385e-21,3.304254123940676e-19,9.388978974062063e-21,7.918700092824253e-18,5.6847803103343e-15,1.6486057024039114e-17,3.1685016515083184e-15,1.770147717319962e-16,2.8203455039837588e-18,2.9796247392153974e-13,1.4544685985121153e-12,4.953236930305138e-05,1.0345216594487283e-07,5.83317074181436e-15,1.2637688146052002e-18
1,7,1.0,1.3441455540613687e-20,8.271823066189222e-15,1.1713698455650956e-07,4.255938049896324e-12,8.464245171396764e-21,6.398375627766596e-18,2.670710288931718e-19,6.288741059747981e-16,2.6817872713095685e-19,3.267958820218908e-14,1.730192599684108e-25,2.1023452618541827e-13,2.1669567182303062e-12,7.266794455063064e-08,3.5178405912082125e-16,1.7242897110136823e-09,3.0290455361348646e-21,2.3666598922604215e-19,3.684406639462885e-21,1.3616908277505033e-17,6.580874676442991e-15,8.788786563750406e-18,1.6791579028786882e-15,2.0056440524803389e-16,1.9045403470114935e-18,3.8371814948569283e-13,2.9707044116311643e-12,9.783760469872504e-05,1.7688978459773352e-07,5.329314040173087e-15,1.0899080643508952e-18
2,7,1.0,3.037618528091831e-20,1.1482608178908001e-14,3.4195309694950993e-07,6.421432396236382e-12,5.95953581423766e-21,1.3844995886791017e-17,2.7868803096404892e-19,1.4150753704187812e-15,4.385481548148286e-19,2.4313040594475463e-14,6.809699399578895e-26,2.5762316000106644e-13,1.8532105103968854e-12,2.1602446054203028e-07,7.014837819166865e-16,2.8583433397955105e-09,3.535247557326248e-21,9.465077490153668e-20,1.8525551942918596e-21,1.668535130338274e-17,5.555952951804026e-15,5.859299954614257e-18,2.5903504195139496e-15,8.467640142935471e-17,2.351790286774015e-18,7.217617345803284e-13,2.253563004608883e-12,0.000250769080594182,2.5389269353581767e-07,4.769966939607764e-15,9.68277772719873e-19
3,7,1.0,3.268874316672076e-20,5.557922303406392e-15,5.36017353169882e-07,7.331251057618449e-12,6.176519667635811e-21,2.3483839570115217e-17,3.8781086059478074e-19,1.8381855858686045e-15,4.549873872123427e-19,1.8688902760966887e-14,4.096943872735876e-26,2.595357197383852e-13,1.8710929073489924e-12,2.167268036146197e-07,7.930918774698968e-16,2.689602762728782e-09,2.6529231188740217e-21,2.2528651723793843e-20,2.572400034688504e-21,1.3269772834460417e-17,4.691053962109764e-15,2.6985313714615966e-18,3.3648832757139126e-15,4.588818197106913e-17,2.772777035292825e-18,9.73781060127632e-13,1.5918090413499786e-12,0.0002554176317062229,1.5965396471528948e-07,2.2990058140093077e-15,1.1231314634613579e-18
4,7,1.0,1.9639302089327875e-19,2.557339639735318e-15,4.537299957974028e-07,1.3739619685038118e-11,4.4042682415760435e-21,5.661247273370073e-17,4.923303008696842e-19,1.8716251760767834e-15,3.244201328457209e-19,1.1540435118217052e-14,1.1571088794979577e-26,1.6483501033299347e-13,6.063377881379561e-13,1.5756850757497887e-07,8.443867104479595e-16,8.967259712555631e-10,1.352738781247187e-21,1.904847185782311e-20,1.928645915175543e-21,3.0249444925956874e-18,4.322293086324921e-15,2.4532191734852674e-18,2.6784441753690017e-15,3.0848430395744286e-17,1.3897471811261075e-18,1.960600085060271e-12,1.066763214221944e-12,0.00017958536045625806,4.8750571579603275e-08,4.826814073555078e-16,7.903904106412364e-19
5,7,1.0,2.3890348693360394e-19,1.1857565524218483e-15,2.402904328846489e-07,7.413499501784937e-12,1.5031923525748556e-21,1.235066433171192e-17,1.11416355900097e-19,9.322388501548074e-16,6.614812785865684e-20,3.1732609178807035e-15,1.7727224099042257e-27,2.085646346112243e-14,8.425217853024955e-14,6.409061370504787e-08,4.052750632426572e-16,9.999371469726626e-11,1.773470891423269e-22,2.391079136360039e-20,3.441299045032278e-22,6.0061330953412745e-19,7.846106953877171e-16,8.689773251222962e-19,1.7051070748551789e-15,1.6575251909490707e-17,8.980882924198749e-19,4.5042891942334573e-13,3.7883427948456894e-13,6.529062375193462e-05,1.1088379991974762e-08,1.5210370480681464e-16,9.279509213250199e-20
6,7,1.0,5.169095268696485e-20,3.1724594658939234e-16,1.3542434373903234e-07,3.0634091183895373e-12,5.744673933565682e-22,2.236772890550048e-18,7.755330060688652e-20,3.3223509456356364e-16,1.958671278941511e-20,2.779404996967557e-15,7.568858459123172e-28,5.256707646483869e-15,1.9037744809964098e-14,3.587231489632359e-08,7.027727807739503e-17,2.2650473510688052e-11,5.353028980365947e-23,2.6796997388621232e-20,1.0911081016732663e-22,7.432070462242343e-20,1.3497503101721778e-16,3.856577094603052e-19,1.9437599841726173e-15,9.924072929325348e-18,3.196190473234924e-19,1.2962231928006357e-13,2.0717145176023938e-13,1.4267573533288669e-05,1.6507071265436934e-09,1.8867391555315563e-16,2.0151111692291964e-20
7,7,1.0,8.096928511809203e-21,1.0597147146781786e-16,7.240000599040286e-08,1.180928510362278e-12,4.510528436598038e-22,4.94269832610968e-19,8.368897742398395e-20,7.10628812836387e-17,1.0539474922817519e-20,5.3783737649615825e-15,1.969228893989944e-27,5.850609456132432e-15,1.81652602167107e-14,3.459996378296637e-08,3.912208278840178e-17,1.834572077585861e-11,5.146841565669073e-23,1.5376786755349278e-20,1.9631061110624343e-22,3.2578127146837396e-20,7.723489273292556e-17,3.0436911970107064e-19,2.4313542885013185e-15,6.354668644970213e-18,3.176234482463141e-19,8.00781424677155e-14,1.0885320016239611e-13,6.319739441096317e-06,4.1661518679347864e-10,1.8855458978671118e-16,1.487716643419298e-20
8,7,1.0,9.07920629700949e-21,2.1233063256257198e-16,5.329498264927679e-08,1.1276409493665707e-12,1.4598731098828132e-21,3.7805504075154205e-19,1.3028503068137634e-19,9.097525606249291e-17,2.4386719099438153e-20,3.9860493818686966e-15,2.259064209843718e-26,8.376056399579494e-15,2.694443992467925e-14,3.495336997616505e-08,7.2579129816228e-17,7.992683771773645e-12,1.7414096909689145e-22,1.1128660486619982e-19,4.967195849444902e-22,4.411941311109753e-20,1.415004404939669e-16,1.8088016357339935e-18,3.3316632787973094e-15,1.8218143448223102e-17,5.744258053164643e-19,6.651206278449062e-14,1.0817019345131171e-13,3.9071660467016045e-06,1.963563617257691e-10,5.632389522601609e-16,2.0538574723439166e-20
9,7,1.0,6.1981216832030896e-21,4.3248228428661244e-17,1.3597694525913084e-08,2.393862560436111e-13,8.587178831485705e-22,8.885836511395167e-20,1.8301530995861993e-20,1.8165993019324084e-17,1.438801511766431e-20,5.104452203665488e-15,1.4578744255651125e-26,6.956363111411401e-15,4.4092016313285274e-15,1.4100258738380944e-08,3.044135165524979e-17,3.949653538254383e-12,1.460549334072543e-22,3.5490791642349996e-20,1.3910474066612062e-22,2.2927868151340114e-20,2.5871630411508765e-17,1.9112297566252098e-18,1.0367040588143907e-15,3.9216808203428903e-17,3.3386219274286056e-19,9.27065770071206e-14,1.3030373695733892e-14,2.338394779144437e-06,1.3599676940145855e-10,5.9250833457121085e-16,1.1958242346330115e-20
