epoch,step,train_acc,train_loss,val_acc,val_loss
0,414,,,0.9418680667877197,0.17841055989265442
0,414,0.942468523979187,0.18787097930908203,,
1,829,,,0.9418680667877197,0.16431578993797302
1,829,0.9490618705749512,0.15538187325000763,,
2,1244,,,0.9395819902420044,0.15937502682209015
2,1244,0.9532439112663269,0.1395864486694336,,
3,1659,,,0.9487262964248657,0.14551497995853424
3,1659,0.9552784562110901,0.1301753669977188,,
4,2074,,,0.93925541639328,0.1523636132478714
4,2074,0.9578027129173279,0.12184059619903564,,
5,2489,,,0.9441541433334351,0.1406886875629425
5,2489,0.9597618579864502,0.11737357825040817,,
6,2904,,,0.9497060775756836,0.13698367774486542
6,2904,0.9606661200523376,0.10943983495235443,,
7,3319,,,0.9565643668174744,0.14697390794754028
7,3319,0.9649235010147095,0.10301702469587326,,
8,3734,,,0.9568909406661987,0.12734761834144592
8,3734,0.9656016826629639,0.09755349904298782,,
9,4149,,,0.9559111595153809,0.12496780604124069
9,4149,0.9663928747177124,0.09415820240974426,,
10,4564,,,0.9565643668174744,0.12514331936836243
10,4564,0.9681259989738464,0.0914609357714653,,
11,4979,,,0.9581972360610962,0.12878400087356567
11,4979,0.9702735543251038,0.08344716578722,,
12,5394,,,0.9591770172119141,0.13126832246780396
12,5394,0.9716298580169678,0.07973578572273254,,
13,5809,,,0.9604833722114563,0.12501128017902374
13,5809,0.9732499718666077,0.0764370709657669,,
14,6224,,,0.9523187279701233,0.14300476014614105
14,6224,0.9731369018554688,0.07567159086465836,,
15,6639,,,0.9614630937576294,0.13717401027679443
15,6639,0.97520911693573,0.07050905376672745,,
16,7054,,,0.9585238695144653,0.14091765880584717
16,7054,0.9754728078842163,0.06653860956430435,,
17,7469,,,0.9519921541213989,0.14241814613342285
17,7469,0.9754351377487183,0.06496410816907883,,
18,7884,,,0.9552580118179321,0.1488862782716751
18,7884,0.9780347943305969,0.061422109603881836,,
19,8299,,,0.9075767397880554,0.2319982796907425
19,8299,0.9783362150192261,0.05787169560790062,,
