Start frame,Key prediction,Idle Prob,Active Prob,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,comma,period,space,backspace
0,3,0.9999992847442627,6.943769221834373e-07,0.0,1.9471308078503614e-31,0.0,1.401298464324817e-45,6.70636251137343e-28,0.0,0.0,0.0,0.0,0.0,0.0,3.2229864679470793e-44,8.499729118425938e-26,5.057313307662042e-25,5.300714794400178e-37,2.565499079776979e-29,4.648371122899974e-37,1.0103361927781931e-42,0.0,0.0,0.0,2.2889110286486423e-33,1.00684555830356e-39,5.4760573654752305e-36,0.0,2.531902385047698e-26,7.162400725986693e-35,4.663232123217323e-24,2.2791707643887253e-25,4.088910267774533e-14
1,3,0.9999988079071045,1.2501794799391064e-06,0.0,7.475518708235111e-32,0.0,0.0,3.6567066112159283e-28,0.0,0.0,0.0,0.0,0.0,0.0,9.80908925027372e-45,1.2612690257174503e-26,4.235519616689591e-26,4.876755867654404e-37,3.994741321156469e-30,2.5727927246027815e-37,1.1070257868166055e-43,0.0,0.0,0.0,4.3116324635795315e-34,2.712064640063465e-39,2.6977977401384812e-36,0.0,1.3664335829215398e-26,2.4468629507320394e-35,2.735515211664535e-24,1.9876865058351659e-26,1.7175673318499396e-14
2,3,0.9999986886978149,1.3122399877829594e-06,0.0,3.371194371251484e-32,0.0,0.0,9.419631876325612e-28,0.0,0.0,0.0,0.0,0.0,0.0,8.407790785948902e-45,6.05667797061859e-27,2.2503545383376168e-26,5.165270890032398e-37,2.4684918692691554e-30,2.4560832838720076e-38,2.382207389352189e-44,0.0,0.0,0.0,3.916651668023858e-34,3.896627073508091e-39,3.395684912134216e-36,0.0,4.484761683400927e-27,2.0792842027115422e-35,2.9313041774531485e-24,1.445369400954805e-27,1.6044298187115405e-14
3,3,0.999998927116394,1.016068040371465e-06,0.0,2.909141631279417e-32,0.0,0.0,6.450140161949555e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-44,7.408424642895826e-27,3.355726160255929e-26,7.77939922883971e-37,2.641581625676324e-30,4.948466924202657e-39,2.2420775429197073e-44,0.0,0.0,0.0,5.093597478862922e-34,3.666351696865594e-39,7.984114899072147e-36,0.0,1.7443503803354907e-27,3.954461145352694e-35,4.6250232508424906e-24,6.964747198642366e-28,2.0467463580095893e-14
4,3,0.9999992847442627,6.626107165175199e-07,0.0,3.885813749224386e-32,0.0,0.0,2.12560289804277e-28,0.0,0.0,0.0,0.0,0.0,0.0,2.1019476964872256e-44,9.079138825144621e-27,4.2173326750387533e-26,6.431609290323198e-37,2.628574075387865e-30,2.9497963258346346e-39,3.6433760072445244e-44,0.0,0.0,0.0,3.928256919673343e-34,4.661972854469912e-39,1.9956926642492837e-35,0.0,1.400721530019048e-27,7.017391903581374e-35,8.210376737979811e-24,5.184553336111885e-28,1.805530686982762e-14
5,3,0.9999995231628418,4.7282230752898613e-07,0.0,4.908239046039235e-32,0.0,0.0,1.4054645899154633e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.961817850054744e-44,1.2571248867003156e-26,4.636452316941139e-26,4.698476174998127e-37,2.5897996889293812e-30,5.7779403267873744e-39,4.0637655465419695e-44,0.0,0.0,0.0,3.0628595857191577e-34,9.597850513269075e-39,9.571358719172485e-36,0.0,7.71383909495924e-28,1.2268185693544743e-34,1.1680623191701356e-23,4.223209033966469e-28,1.4732845545211044e-14
6,3,0.9999992847442627,6.783454296055424e-07,0.0,1.3123047310404798e-31,0.0,0.0,1.1792060993076078e-28,0.0,0.0,0.0,0.0,0.0,0.0,5.74532370373175e-44,2.2316642356365142e-26,5.465802740717784e-26,1.4851786209450206e-36,1.0758805145053572e-29,9.806240410495747e-39,1.5834672646870433e-43,0.0,0.0,0.0,6.6923193871491586e-34,1.944558056869655e-38,4.976096601799287e-35,0.0,5.060576218173823e-27,2.385601040969041e-34,2.915899696126445e-23,4.596942480429617e-28,6.49490227225269e-14
7,8,0.9999985694885254,1.4288746115198592e-06,0.0,3.18500476473943e-31,0.0,0.0,6.833863286663619e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.1070257868166055e-43,2.1318087739543203e-26,4.6169622140527315e-26,5.067737378006831e-36,1.359702779155466e-29,6.248320348020529e-38,2.858648867222627e-43,0.0,0.0,0.0,9.793551286994231e-34,8.234909231288835e-38,9.318760738708085e-35,0.0,2.460492446420917e-26,4.006835043605967e-34,4.250480376083059e-23,1.3059397767009467e-27,1.655108477572123e-13
8,2,0.9999982118606567,1.7732583046381478e-06,0.0,1.0999192799401249e-30,0.0,0.0,8.496640181980859e-29,0.0,0.0,0.0,0.0,0.0,0.0,2.045895757914233e-43,5.0021324873418324e-26,9.95704117244729e-26,2.413856986426932e-35,1.3958869403020256e-29,5.413539723683966e-37,3.124895575444342e-43,0.0,0.0,0.0,1.5509608381283575e-33,4.001512021485261e-37,8.319476320110794e-35,0.0,4.764827719611797e-26,1.326546293257913e-33,7.332551728628138e-23,8.712520341675022e-27,3.2315510402163017e-13
9,2,0.9999982118606567,1.744543283166422e-06,1.401298464324817e-45,2.4680658701164174e-30,0.0,1.401298464324817e-45,8.594346219178269e-29,0.0,0.0,0.0,0.0,0.0,0.0,4.3019862854771884e-43,7.140837323092223e-26,1.2540737514452196e-25,4.7425422898858367e-35,2.4134619569952974e-29,1.9886103179602275e-36,5.647232811229013e-43,0.0,0.0,0.0,1.6652098891496604e-33,1.290523242330766e-36,1.1988789971808478e-34,0.0,1.178219105470463e-25,3.413609880848999e-33,1.6575757386315223e-22,1.5612432456890553e-26,4.682070703365682e-13
10,2,0.9999983310699463,1.6683517287674476e-06,5.605193857299268e-45,8.876846588709127e-30,0.0,5.605193857299268e-45,1.5115072556183967e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.968824342376368e-42,1.3486946587980854e-25,1.958555012755881e-25,1.8256422535459737e-34,8.953403357241458e-29,5.519863973339813e-36,2.2785113029921526e-42,0.0,0.0,0.0,3.8097455996043555e-33,5.279603661305351e-36,5.808300799227758e-34,0.0,6.527265378575363e-25,1.2909753566574506e-32,6.10156823860411e-22,2.8455839876938914e-26,1.713691146452978e-12
11,2,0.9999990463256836,9.560765192873077e-07,4.484155085839415e-44,5.650972763001777e-29,1.401298464324817e-45,8.267660939516421e-44,9.025996832782138e-28,0.0,0.0,0.0,0.0,0.0,0.0,2.349557135133421e-41,4.9671548878423985e-25,6.407362465286295e-25,1.633469521296543e-33,7.298414080024969e-28,1.494170266659766e-35,2.4955724351160667e-41,0.0,0.0,0.0,2.4579265084115494e-32,3.0890352849975147e-35,1.717716687141198e-32,0.0,9.392878446045203e-24,7.337788973885141e-32,4.127974165008777e-21,1.0832798187866307e-25,1.2153877730625151e-11
12,2,0.9999995231628418,4.3272169136798766e-07,1.7376100957627732e-43,1.5422879494720796e-28,3.2229864679470793e-44,9.753037311700727e-43,9.689877403157057e-27,0.0,0.0,0.0,0.0,0.0,0.0,1.405081970178494e-40,2.0690320736074957e-24,3.512620906106396e-24,8.384776959844391e-33,4.8117738027501914e-27,2.3521125385288084e-35,1.9202273116335833e-40,0.0,0.0,0.0,1.0323100875856316e-31,1.08424223965364e-34,2.4644337806514727e-31,0.0,2.7258309185337705e-23,3.8939957188785668e-31,1.5662829688579236e-20,3.798032211425749e-25,3.4307629653840266e-11
13,3,0.9999997615814209,2.337257001272519e-07,1.6114932339735396e-43,1.0446006888231965e-28,4.344025239406933e-44,1.0215465804927916e-42,2.153620161686099e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.5768811619047166e-40,2.27654528738473e-24,4.949815823753254e-24,7.117133402809237e-33,9.369573682990082e-27,1.4832622186176752e-35,3.630091697802725e-40,0.0,0.0,0.0,9.612841328213771e-32,1.8836442901812888e-34,2.6414032796734172e-31,0.0,7.778958964106208e-24,7.752685229831316e-31,1.8663702010428106e-20,3.6371851984844147e-25,2.0662789187997355e-11
14,3,0.9999997615814209,2.423428782094561e-07,5.184804318001823e-43,7.964344441713823e-29,2.802596928649634e-44,7.132609183413319e-43,1.753552743239965e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.2678808375364512e-40,2.0365035913959336e-24,4.12784090431378e-24,7.884884028161797e-33,1.1993184075683239e-26,3.118563266871564e-35,8.870835850500395e-40,0.0,0.0,0.0,7.470019745661964e-32,2.5564986341244085e-34,1.4743674335513417e-31,0.0,8.976978355038202e-24,6.850565255829481e-31,1.2833514141097724e-20,3.067994198716739e-25,1.0446205532532726e-11
15,2,0.9999997615814209,2.852698912647611e-07,1.1742881131041967e-42,8.910833685086316e-29,2.942726775082116e-44,8.085492139154194e-43,9.304239976300645e-27,0.0,0.0,0.0,0.0,0.0,0.0,2.0169589446259255e-40,2.6391836594386976e-24,3.715660292474896e-24,7.172397800345208e-33,1.9466039549310573e-26,8.180758803164148e-35,3.502717871290992e-39,0.0,0.0,0.0,9.58427035026986e-32,2.472036839541683e-34,1.3446354101160609e-31,0.0,1.7263951120332258e-23,9.998855570410808e-31,1.8716651263154303e-20,2.4690983950439334e-25,1.1346429872050035e-11
16,2,0.9999995231628418,4.6500514372382895e-07,1.233142648605839e-42,6.526022042499655e-29,2.1019476964872256e-44,4.932570594423356e-43,2.832084605453297e-27,0.0,0.0,1.401298464324817e-45,0.0,0.0,0.0,1.6866588835999228e-40,2.9736817852816213e-24,3.13323481981936e-24,7.329332173651737e-33,1.825876497106759e-26,1.3419019917761205e-34,4.5657218668508336e-39,0.0,0.0,0.0,8.445254527889465e-32,1.397722705788943e-34,8.453634627116477e-32,0.0,2.267935817237329e-23,8.929538452123154e-31,1.6648963072474558e-20,2.0641579732450712e-25,1.1845455172299069e-11
17,2,0.9999996423721313,3.639239025687857e-07,6.137687273742699e-43,5.453854435046851e-29,4.344025239406933e-44,4.3159992701204366e-43,2.3433508005228755e-27,0.0,0.0,0.0,0.0,0.0,0.0,1.5774977332290196e-40,6.65814933427272e-24,6.508753278320155e-24,9.320719520964512e-33,2.3657708976728773e-26,1.0282431351895306e-34,6.536744846517727e-39,0.0,0.0,0.0,1.1988746983612726e-31,6.209120725217897e-35,6.210764957124659e-32,0.0,1.8975118219223278e-23,1.0739395382332794e-30,2.093582013468209e-20,2.448236721886331e-25,2.1177205822286993e-11
