epoch,step,train_acc,train_loss,val_acc,val_loss
0,385,,,0.6558833718299866,1.1407305002212524
0,385,0.6082996129989624,1.2766824960708618,,
1,771,,,0.7401350736618042,0.86835777759552
1,771,0.8002429008483887,0.6385848522186279,,
2,1157,,,0.8512264490127563,0.5545979142189026
2,1157,0.8691093325614929,0.42383038997650146,,
3,1543,,,0.8389619588851929,0.5766699910163879
3,1543,0.903522253036499,0.3165971040725708,,
4,1929,,,0.8279417157173157,0.6012284755706787
4,1929,0.9172874689102173,0.2676181495189667,,
5,2315,,,0.8686455488204956,0.46261459589004517
5,2315,0.9321457743644714,0.2229469269514084,,
6,2701,,,0.8748666644096375,0.4688645601272583
6,2701,0.9352226853370667,0.2066335827112198,,
7,3087,,,0.8553146123886108,0.5351113080978394
7,3087,0.9466396570205688,0.17515213787555695,,
8,3473,,,0.8403839468955994,0.5661829113960266
8,3473,0.9480161666870117,0.16798441112041473,,
9,3859,,,0.8640241622924805,0.5035235285758972
9,3859,0.952793538570404,0.154150128364563,,
10,4245,,,0.8801990747451782,0.46994996070861816
10,4245,0.9542915225028992,0.1449388712644577,,
11,4631,,,0.8720227479934692,0.4886614680290222
11,4631,0.9581781625747681,0.13090644776821136,,
12,5017,,,0.8897973895072937,0.4390953779220581
12,5017,0.961417019367218,0.12029998749494553,,
13,5403,,,0.891930341720581,0.4537399113178253
13,5403,0.9641295671463013,0.10998664796352386,,
14,5789,,,0.9057945013046265,0.4294789731502533
14,5789,0.9675708413124084,0.10320927202701569,,
15,6175,,,0.8833985328674316,0.4607248604297638
15,6175,0.9655870199203491,0.10522563010454178,,
16,6561,,,0.8965517282485962,0.45571351051330566
16,6561,0.9721862077713013,0.08426190167665482,,
17,6947,,,0.8926413059234619,0.49977225065231323
17,6947,0.9697975516319275,0.09034936875104904,,
18,7333,,,0.8917526006698608,0.48026758432388306
18,7333,0.9753441214561462,0.07505485415458679,,
19,7719,,,0.8832207322120667,0.5160638689994812
19,7719,0.9726720452308655,0.08095556497573853,,
20,8105,,,0.8869534134864807,0.5138174891471863
20,8105,0.9777733087539673,0.06935851275920868,,
21,8491,,,0.8841094970703125,0.5253386497497559
21,8491,0.9797570705413818,0.06230450049042702,,
22,8877,,,0.8992179036140442,0.45637407898902893
22,8877,0.9784615635871887,0.06588911265134811,,
23,9263,,,0.8953074812889099,0.46607694029808044
23,9263,0.978016197681427,0.06778430938720703,,
24,9649,,,0.9031283259391785,0.440552681684494
24,9649,0.9812955260276794,0.05448261275887489,,
