epoch,step,train_acc,train_loss,val_acc,val_loss
0,414,,,0.9367853403091431,0.18191367387771606
0,414,0.9422048330307007,0.18887017667293549,,
1,829,,,0.9426658153533936,0.16715343296527863
1,829,0.9492125511169434,0.1548272967338562,,
2,1244,,,0.9449526071548462,0.1496809870004654
2,1244,0.9541104435920715,0.13856995105743408,,
3,1659,,,0.947402834892273,0.15764138102531433
3,1659,0.95652174949646,0.12876169383525848,,
4,2074,,,0.9317216873168945,0.1683538407087326
4,2074,0.9590083360671997,0.12085253745317459,,
5,2489,,,0.9451159834861755,0.14747799932956696
5,2489,0.9599502682685852,0.11561858654022217,,
6,2904,,,0.9491996169090271,0.14795222878456116
6,2904,0.9627382755279541,0.10748814046382904,,
7,3319,,,0.9521397948265076,0.16128815710544586
7,3319,0.9648858308792114,0.10093878954648972,,
8,3734,,,0.9537732601165771,0.13599807024002075
8,3734,0.9653756022453308,0.09689697623252869,,
9,4149,,,0.9550800323486328,0.12519405782222748
9,4149,0.9675984978675842,0.0902448296546936,,
10,4564,,,0.9580202698707581,0.12913328409194946
10,4564,0.9709516763687134,0.08714604377746582,,
11,4979,,,0.9529565572738647,0.13386158645153046
11,4979,0.9715168476104736,0.0806770995259285,,
12,5394,,,0.9611238241195679,0.12572279572486877
12,5394,0.9732499718666077,0.0773201435804367,,
13,5809,,,0.9542633295059204,0.137230783700943
13,5809,0.9738904237747192,0.07314247637987137,,
14,6224,,,0.927311360836029,0.18460780382156372
14,6224,0.9743425250053406,0.07170494645833969,,
15,6639,,,0.9537732601165771,0.1469746232032776
15,6639,0.9757365584373474,0.06670543551445007,,
16,7054,,,0.9547533392906189,0.14251691102981567
16,7054,0.976791501045227,0.06416435539722443,,
17,7469,,,0.9557334184646606,0.1394282579421997
17,7469,0.9782232046127319,0.06010150536894798,,
18,7884,,,0.9555701017379761,0.15299764275550842
18,7884,0.9791650772094727,0.057013291865587234,,
19,8299,,,0.9362953305244446,0.17824731767177582
19,8299,0.979767918586731,0.05546672269701958,,
