Start frame,Key prediction,Idle Prob,Active Prob,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,comma,period,space,backspace
0,2,1.0,9.690582364330069e-11,1.0936947324052753e-21,5.3169560277780915e-24,7.006492321624085e-45,2.575007162393413e-25,7.654799698917785e-19,4.203895392974451e-45,4.75040179406113e-43,6.774452003960577e-36,2.1972200733107584e-37,1.6685218775761667e-39,6.712219644115874e-43,2.7242715406860476e-29,4.845422920049209e-19,4.373922216075741e-18,1.0452123761558996e-21,7.301135419036388e-28,1.0158269060639883e-18,3.823080315971573e-37,9.504238580635651e-32,7.006492321624085e-45,1.5125814618527883e-30,9.716252890700569e-36,1.8572412290075222e-19,2.7498671793281864e-33,5.1475353840446403e-39,1.3805095123884508e-21,1.437280572065113e-14,7.513330235742188e-12,7.251947360214946e-21,1.0260793311388947e-22
1,2,1.0,8.601081652459541e-11,6.880921413542163e-22,2.5066033569722757e-24,2.802596928649634e-45,1.5916167324708766e-25,1.1279921835358726e-18,1.401298464324817e-45,1.2471556332490872e-43,2.409468361781041e-36,1.170849662984375e-37,6.709318956294721e-40,2.312142466135948e-43,1.1492948574995219e-29,2.5227351736702824e-19,2.338968987279443e-18,5.980916696315987e-22,4.017484326943184e-28,6.490005319351239e-19,7.888830549554535e-38,2.888804697389428e-32,1.401298464324817e-45,7.30984735561666e-31,4.2378565899325646e-36,1.0961392934534396e-19,8.014423138280429e-34,1.7917842943935706e-39,6.68766235623103e-22,6.853831890728636e-15,3.684220463429089e-12,5.220493153877362e-21,5.04062396913596e-23
2,2,1.0,6.588115469829958e-11,1.483222711101533e-22,4.73298054205141e-25,0.0,4.901227624951541e-26,1.6834806710049127e-18,0.0,4.203895392974451e-45,2.026660302050262e-37,3.116770006169108e-38,4.5144231326688307e-41,1.401298464324817e-44,1.208780401176556e-30,3.4316841407378254e-20,3.9166870172475735e-19,1.91550498186395e-22,1.0665425679383572e-28,1.2611518736410238e-19,3.21728738709267e-39,3.489440286736575e-33,0.0,8.142310238025773e-32,3.844341040480064e-37,3.04120836270334e-20,9.389153794456887e-35,9.876211446714878e-41,1.3702922869182242e-22,1.050138530753436e-15,8.207471161036928e-13,2.1192609631678653e-21,1.5271728658129095e-23
3,2,1.0,6.834711963055184e-11,1.3980992867284665e-23,3.042144705966844e-26,0.0,5.060483003164515e-27,1.4889316166427737e-18,0.0,0.0,5.964626913398584e-39,1.9461163007619843e-39,1.1098283837452551e-42,0.0,3.736299390133834e-32,3.2179496773523945e-21,5.203581591656557e-20,2.2686555739272526e-23,8.213492368969478e-30,8.849627326315512e-21,3.484188501697225e-41,9.78493091855862e-35,0.0,2.4823964804390293e-33,1.267518181493884e-38,2.8391589159915362e-21,3.0436615187402924e-36,9.136465987397807e-43,9.867111645549677e-24,7.135481648286581e-17,8.935397316804303e-14,3.517653207592982e-22,1.0844215470355184e-24
4,2,1.0,4.019115942832663e-11,1.878384311553434e-24,1.0186087475538595e-27,0.0,3.4775072558342027e-28,1.50622879043187e-18,0.0,0.0,8.172933163328063e-41,4.357477704664451e-41,8.407790785948902e-45,0.0,7.117200901898913e-34,1.2958053896746147e-22,3.281828578987767e-21,2.117878538074007e-24,3.540669388490326e-31,1.0316692121350653e-21,3.0127916982983567e-43,7.895250065975423e-37,0.0,4.0047562897532454e-35,1.5518119323779457e-40,1.9139661351189174e-22,1.7875200030367837e-38,4.203895392974451e-45,5.3894064924277865e-25,2.746901171370941e-18,9.482522833083578e-15,3.7434040571949756e-23,4.294119964144659e-26
5,2,1.0,2.827321016196649e-11,4.14499123343135e-25,6.877228608627036e-29,0.0,3.3168684484384015e-29,8.911764746189584e-19,0.0,0.0,2.0360866686639592e-42,1.0397634605290143e-42,0.0,0.0,2.7707894175693884e-35,8.434700380432079e-24,3.1069595985604397e-22,2.5171927792449296e-25,2.2577061719407216e-32,2.1286216245345413e-22,9.80908925027372e-45,1.854626785194835e-38,0.0,1.1221717380838418e-36,4.244533048439871e-42,3.042253125037505e-23,2.4795135547149043e-40,0.0,5.91445505461059e-26,2.067750940084025e-19,2.0462081956265513e-15,3.2558884910849334e-24,3.0090870043992113e-27
6,2,1.0,9.518855322021569e-12,2.0177589004332015e-25,2.010777841330154e-29,0.0,9.188750190886255e-30,3.922435922504817e-19,0.0,0.0,3.783505853677006e-43,1.1350517561031018e-43,0.0,0.0,5.702883148872518e-36,3.1984736166811378e-24,1.5842248010914311e-22,8.577167525927443e-26,3.6404020467149736e-33,1.307359993125568e-22,1.401298464324817e-45,2.281524094690451e-39,0.0,2.1171790260672963e-37,8.323712878089413e-43,1.090482818965352e-23,1.9712065497657202e-41,0.0,2.2775312587456673e-26,6.833249859890771e-20,9.915978603072047e-16,8.752416673807784e-25,6.488175833903745e-28
7,2,1.0,4.702827970798351e-12,2.1859399778622786e-25,4.0096456115135955e-29,0.0,2.2689764356182134e-29,2.2723832744143973e-19,0.0,0.0,1.0271517743500909e-42,1.6255062186167878e-43,0.0,0.0,1.6277074006653247e-35,9.007952978481705e-24,5.450261956059572e-22,1.3304400476727219e-25,5.601082542848393e-33,1.855179084502144e-22,8.407790785948902e-45,4.5971978329564976e-39,0.0,3.5314736928696475e-37,2.60361254671551e-42,1.3210096691458252e-23,5.415878434768985e-41,0.0,6.719515341779832e-26,1.3633306512763437e-19,1.4359024282841067e-15,1.2142068167071292e-24,1.131349027231394e-27
8,2,1.0,4.887789391977426e-12,5.066020359903419e-25,2.2100469816431297e-28,0.0,1.438335519611914e-28,1.91266685369255e-19,0.0,0.0,8.184984330121257e-42,8.253647954873173e-43,0.0,0.0,1.0549742670280881e-34,3.856970366376765e-23,2.9937249643685286e-21,3.870467391895405e-25,2.2012918470560583e-32,4.977108991124271e-22,1.0089348943138683e-43,5.179538798892276e-38,0.0,2.2470858060519796e-36,1.793101514950036e-41,3.6583430790511664e-23,6.6411738119746055e-40,0.0,3.8102721279273515e-25,7.66773783767388e-19,5.158481894271998e-15,3.314669672576572e-24,4.892723719800698e-27
9,2,1.0,2.5155864804421446e-12,1.294226500350033e-24,1.5336558592389631e-27,0.0,5.337384062401276e-28,2.0760780639130198e-19,0.0,0.0,1.759232131067305e-40,1.0491521602399905e-41,5.605193857299268e-45,0.0,7.517941619773616e-34,2.350034559573161e-22,1.774584495439822e-20,2.0367256557407533e-24,1.3308858877933627e-31,1.90752130560633e-21,1.677354261796806e-42,8.840158400311642e-37,0.0,3.9566149747235244e-35,1.6526914088246893e-40,1.7844255819330197e-22,1.0421965350526214e-38,4.203895392974451e-45,1.108849216611366e-24,6.8758131103939345e-18,2.588773582979341e-14,1.2976926762814835e-23,3.112523732812993e-26
