epoch,step,train_acc,train_loss,val_acc,val_loss
0,532,,,0.9132537245750427,0.2971304655075073
0,532,0.8485293388366699,0.6209182143211365,,
1,1065,,,0.9333049058914185,0.2324044108390808
1,1065,0.9109963178634644,0.2728745937347412,,
2,1598,,,0.9246302843093872,0.2197427898645401
2,1598,0.9333646297454834,0.20509016513824463,,
3,2131,,,0.9424061179161072,0.20375880599021912
3,2131,0.9444607496261597,0.17297528684139252,,
4,2664,,,0.947098970413208,0.16290397942066193
4,2664,0.9502142667770386,0.1566968560218811,,
5,3197,,,0.9536405205726624,0.1505744308233261
5,3197,0.9548817276954651,0.13823848962783813,,
6,3730,,,0.9472411870956421,0.15412695705890656
6,3730,0.9572594165802002,0.130586639046669,,
7,4263,,,0.9547781348228455,0.13748838007450104
7,4263,0.9584336280822754,0.12556295096874237,,
8,4796,,,0.9523606300354004,0.1582602709531784
8,4796,0.964099109172821,0.10901960730552673,,
9,5329,,,0.9611774682998657,0.12734141945838928
9,5329,0.9655374884605408,0.10182107239961624,,
10,5862,,,0.9600397944450378,0.13149820268154144
10,5862,0.9690306782722473,0.0943588837981224,,
11,6395,,,0.9644482135772705,0.1193256825208664
11,6395,0.9712322950363159,0.0851895734667778,,
12,6928,,,0.9546359777450562,0.14092004299163818
12,6928,0.9729642271995544,0.08043205738067627,,
13,7461,,,0.9641638398170471,0.1349731683731079
13,7461,0.9751071333885193,0.07265616208314896,,
14,7994,,,0.9633105993270874,0.12083344906568527
14,7994,0.9761052131652832,0.06947226822376251,,
15,8527,,,0.9576222896575928,0.13845686614513397
15,8527,0.976398766040802,0.06577320396900177,,
16,9060,,,0.9689988493919373,0.1014813780784607
16,9060,0.9791874885559082,0.059536080807447433,,
17,9593,,,0.9653014540672302,0.11210707575082779
17,9593,0.981389045715332,0.052538707852363586,,
18,10126,,,0.9628839492797852,0.10953856259584427
18,10126,0.9825339317321777,0.04831204563379288,,
19,10659,,,0.9634528160095215,0.1254730522632599
19,10659,0.9847354888916016,0.04303207993507385,,
20,11192,,,0.9691410660743713,0.11419042199850082
20,11192,0.9853519797325134,0.04210004210472107,,
21,11725,,,0.971274197101593,0.111299067735672
21,11725,0.9862912893295288,0.0381295271217823,,
