epoch,step,train_acc,train_loss,val_acc,val_loss
0,428,,,0.7685643434524536,0.8051809668540955
0,428,0.48272469639778137,1.8992482423782349,,
1,857,,,0.8893210887908936,0.3827719986438751
1,857,0.8102631568908691,0.6349717974662781,,
2,1286,,,0.9245049357414246,0.2692714035511017
2,1286,0.8869815468788147,0.3786143362522125,,
3,1715,,,0.9282178282737732,0.24610380828380585
3,1715,0.9127851724624634,0.28595399856567383,,
4,2144,,,0.9398868680000305,0.2063540816307068
4,2144,0.9249581098556519,0.24013714492321014,,
5,2573,,,0.9450141191482544,0.20085318386554718
5,2573,0.9384430646896362,0.19918662309646606,,
6,3002,,,0.9485502243041992,0.20215944945812225
6,3002,0.9455135464668274,0.1752907633781433,,
7,3431,,,0.9460749626159668,0.20066241919994354
7,3431,0.9512355327606201,0.15205737948417664,,
8,3860,,,0.9457213282585144,0.20894283056259155
8,3860,0.9556454420089722,0.13984385132789612,,
9,4289,,,0.9448373317718506,0.2072914093732834
9,4289,0.960383415222168,0.12408018857240677,,
10,4718,,,0.9512022733688354,0.19084881246089935
10,4718,0.9602741003036499,0.11746048927307129,,
11,5147,,,0.9467821717262268,0.207442045211792
11,5147,0.9659960865974426,0.10388577729463577,,
12,5576,,,0.9520862698554993,0.18638503551483154
12,5576,0.9681828022003174,0.09547846764326096,,
13,6005,,,0.9529703259468079,0.18035617470741272
13,6005,0.9713171720504761,0.0855712741613388,,
14,6434,,,0.9499646425247192,0.2102174162864685
14,6434,0.9708433747291565,0.08649104833602905,,
15,6863,,,0.9603960514068604,0.18617086112499237
15,6863,0.976273775100708,0.07016550004482269,,
16,7292,,,0.9508486390113831,0.20623131096363068
16,7292,0.9753990769386292,0.07241807132959366,,
17,7721,,,0.9533239006996155,0.18868695199489594
17,7721,0.9793352484703064,0.0640987828373909,,
18,8150,,,0.9545615315437317,0.2005048543214798
18,8150,0.9786791801452637,0.06536179035902023,,
