epoch,step,train_acc,train_loss,val_acc,val_loss
0,428,,,0.5429632067680359,1.4947798252105713
0,428,0.4185800850391388,1.9352877140045166,,
1,857,,,0.6957213282585144,0.9888730645179749
1,857,0.6295284032821655,1.1979962587356567,,
2,1286,,,0.7781117558479309,0.7345324754714966
2,1286,0.7463371753692627,0.8250213265419006,,
3,1715,,,0.8143564462661743,0.6141400337219238
3,1715,0.8069465756416321,0.6400135159492493,,
4,2144,,,0.8704031109809875,0.43042415380477905
4,2144,0.8441212773323059,0.5191652774810791,,
5,2573,,,0.8702263236045837,0.41607192158699036
5,2573,0.8688315749168396,0.4351006746292114,,
6,3002,,,0.8780056834220886,0.404925137758255
6,3002,0.882425844669342,0.38707152009010315,,
7,3431,,,0.8900282979011536,0.364769846200943
7,3431,0.8974415063858032,0.33972978591918945,,
8,3860,,,0.87782883644104,0.41001924872398376
8,3860,0.9018149971961975,0.3225661516189575,,
9,4289,,,0.9146039485931396,0.3113553822040558
9,4289,0.9105255603790283,0.28536564111709595,,
10,4718,,,0.9020509123802185,0.322952002286911
10,4718,0.9200743436813354,0.2618333697319031,,
11,5147,,,0.9055869579315186,0.3146635890007019
11,5147,0.927327036857605,0.23645955324172974,,
12,5576,,,0.9068245887756348,0.31950414180755615
12,5576,0.9294044971466064,0.22520315647125244,,
13,6005,,,0.9220296740531921,0.2730184495449066
13,6005,0.9374589920043945,0.19824261963367462,,
14,6434,,,0.9089462757110596,0.31566083431243896
14,6434,0.9413586854934692,0.18279261887073517,,
15,6863,,,0.9192008376121521,0.2902854084968567
15,6863,0.9468984603881836,0.16769886016845703,,
16,7292,,,0.9115983247756958,0.3152173161506653
16,7292,0.9478824734687805,0.163641557097435,,
17,7721,,,0.9264497756958008,0.25902658700942993
17,7721,0.9538960456848145,0.1462637484073639,,
18,8150,,,0.9213224649429321,0.28169986605644226
18,8150,0.9556819200515747,0.13875539600849152,,
19,8579,,,0.9257425665855408,0.2915635108947754
19,8579,0.9609301090240479,0.12032719701528549,,
20,9008,,,0.9241513609886169,0.29149243235588074
20,9008,0.9607478976249695,0.11996149271726608,,
21,9437,,,0.9299858808517456,0.2783588171005249
21,9437,0.9647569060325623,0.10677878558635712,,
22,9866,,,0.9347595572471619,0.26472172141075134
22,9866,0.9641373157501221,0.10727418959140778,,
