Key,Frame
d,89
e,96
a,101
r,105
space,108
t,114
e,118
a,123
m,129
comma,139
space,143
i,148
space,152
h,156
o,160
p,166
e,171
space,173
a,180
backspace,192
y,198
o,214
u,221
space,226
a,231
l,233
l,238
space,240
h,243
a,246
d,253
space,257
o,263
backspace,273
a,275
space,279
f,284
a,304
n,309
s,316
t,320
a,327
s,344
i,349
backspace,360
t,363
i,366
c,370
space,375
t,380
i,382
m,388
e,389
space,394
o,402
u,408
r,412
space,415
r,426
e,429
c,435
e,442
n,445
t,449
space,453
e,467
m,473
p,476
l,482
o,490
y,497
e,502
e,507
space,511
a,518
p,523
p,527
r,531
i,536
e,540
backspace,547
backspace,550
e,552
c,561
i,566
a,573
t,580
i,582
o,586
n,588
s,593
space,601
backspace,604
backspace,613
space,619
e,624
v,635
e,641
n,649
t,654
period,660
space,664
i,670
t,672
space,675
w,683
a,689
s,692
space,695
t,699
r,705
u,707
l,713
y,719
space,725
a,730
space,735
p,742
l,748
e,756
a,762
s,766
e,771
u,776
backspace,783
backspace,788
u,791
r,794
e,798
space,800
t,804
o,806
space,808
s,812
e,816
e,821
space,824
e,828
v,833
e,839
r,841
y,847
o,854
n,860
e,871
space,875
c,883
o,884
m,889
e,892
space,895
t,899
o,903
g,920
e,925
t,930
h,936
e,938
r,941
space,946
a,951
n,955
d,957
space,960
e,970
n,976
j,993
o,999
y,1005
space,1011
t,1016
h,1018
e,1022
space,1026
f,1034
e,1038
s,1044
t,1049
i,1054
v,1061
i,1065
t,1070
i,1075
e,1081
s,1085
period,1093
space,1102
y,1107
o,1114
u,1121
r,1129
space,1136
e,1147
n,1150
t,1158
h,1162
u,1166
s,1171
i,1177
a,1183
n,1188
backspace,1201
s,1204
m,1211
space,1216
a,1223
n,1227
d,1230
space,1233
p,1238
o,1242
s,1260
i,1266
t,1270
i,1278
v,1280
e,1286
space,1290
e,1297
n,1299
e,1303
r,1307
y,1311
space,1317
backspace,1329
backspace,1334
g,1339
y,1343
space,1347
m,1352
a,1355
d,1361
e,1367
space,1370
t,1374
h,1377
e,1379
space,1382
e,1387
v,1406
e,1412
t,1418
n,1425
backspace,1434
backspace,1439
n,1448
t,1452
space,1456
a,1464
space,1469
r,1477
e,1482
s,1492
o,1497
u,1501
n,1507
d,1510
i,1514
n,1518
g,1521
space,1522
s,1530
u,1533
c,1537
c,1541
e,1548
s,1554
s,1560
period,1566
space,1570
w,1584
e,1590
space,1594
w,1603
a,1608
n,1613
t,1615
e,1619
d,1624
space,1626
t,1630
o,1634
space,1636
t,1647
a,1651
k,1657
e,1660
space,1663
a,1668
space,1672
m,1677
o,1681
m,1685
e,1688
n,1693
t,1696
space,1699
t,1705
o,1709
space,1711
e,1715
x,1722
t,1729
e,1733
n,1739
d,1741
space,1746
o,1749
u,1755
r,1758
space,1762
h,1775
e,1779
a,1785
r,1788
t,1804
f,1815
e,1819
l,1826
t,1830
s,1835
space,1843
backspace,1849
backspace,1854
space,1857
g,1862
r,1869
a,1872
d,1881
backspace,1891
t,1893
u,1898
d,1900
backspace,1915
backspace,1920
i,1926
t,1932
u,1935
d,1944
e,1951
space,1954
t,1960
o,1964
space,1969
e,1974
a,1978
c,1984
h,1996
space,2001
o,2005
f,2008
space,2012
y,2017
o,2021
u,2025
r,2030
space,2032
h,2038
a,2049
r,2053
d,2060
space,2065
w,2070
o,2074
r,2077
k,2081
d,2096
backspace,2107
space,2109
a,2114
n,2117
d,2119
space,2123
d,2128
e,2133
d,2148
i,2154
c,2156
a,2163
t,2168
i,2171
o,2174
n,2177
period,2185
space,2190
e,2194
v,2199
e,2204
n,2209
t,2213
space,2216
l,2224
backspace,2233
backspace,2238
s,2241
space,2246
l,2249
i,2253
k,2258
e,2262
space,2265
t,2273
h,2275
e,2278
s,2282
e,2288
space,2290
a,2297
r,2314
e,2319
space,2322
a,2327
space,2332
s,2337
a,2345
m,2349
l,2357
backspace,2365
backspace,2370
backspace,2374
m,2379
a,2382
l,2384
l,2388
space,2391
t,2395
i,2405
backspace,2416
o,2420
k,2424
e,2427
n,2431
space,2435
o,2445
f,2460
space,2465
a,2480
p,2484
p,2488
r,2491
e,2497
c,2507
i,2513
a,2523
t,2528
i,2530
o,2534
n,2537
space,2542
f,2550
o,2553
space,2559
h,2566
backspace,2574
backspace,2579
r,2581
space,2584
t,2586
h,2587
e,2591
space,2593
i,2598
n,2602
c,2605
r,2612
e,2616
d,2621
i,2625
b,2640
l,2648
e,2651
space,2655
e,2665
f,2670
f,2675
o,2681
r,2684
t,2690
space,2695
y,2705
o,2710
u,2712
space,2714
p,2720
u,2725
t,2730
space,2733
i,2746
n,2751
t,2756
o,2759
space,2763
y,2771
o,2775
u,2778
r,2784
space,2791
r,2801
o,2806
l,2811
e,2815
s,2822
space,2831
e,2838
v,2842
e,2848
r,2853
y,2858
d,2876
a,2877
y,2880
period,2890
space,2898
s,2910
backspace,2918
a,2922
s,2926
space,2930
w,2937
e,2942
space,2946
m,2952
o,2956
v,2958
e,2963
space,2967
f,2974
o,2979
r,2982
w,2995
a,3001
r,3005
d,3011
space,3017
backspace,3025
comma,3042
space,3048
k,3053
backspace,3064
l,3070
e,3072
t,3077
s,3081
space,3084
c,3095
a,3100
r,3105
r,3110
y,3114
space,3118
f,3125
o,3129
r,3132
w,3145
a,3152
r,3156
d,3164
space,3168
t,3172
h,3174
i,3178
s,3179
space,3183
s,3191
p,3196
i,3202
r,3207
t,3214
i,3221
backspace,3230
backspace,3233
i,3238
t,3239
space,3244
o,3249
f,3252
space,3256
c,3262
a,3267
m,3272
a,3283
r,3288
a,3299
d,3307
e,3314
r,3317
i,3325
e,3332
space,3344
a,3355
n,3360
d,3362
space,3365
t,3369
e,3373
a,3378
m,3382
w,3392
o,3397
r,3401
k,3404
period,3419
space,3425
y,3430
o,3434
u,3437
space,3440
c,3445
o,3448
backspace,3459
backspace,3465
backspace,3468
r,3473
space,3488
c,3492
o,3495
n,3502
t,3504
r,3510
i,3513
b,3518
u,3521
t,3523
i,3528
o,3532
n,3536
s,3539
space,3543
a,3546
r,3551
e,3555
space,3560
i,3570
n,3574
v,3578
a,3587
l,3593
u,3599
a,3607
b,3615
l,3620
e,3624
space,3626
t,3634
o,3636
space,3639
o,3644
u,3649
r,3651
space,3655
c,3661
o,3666
m,3670
a,3683
backspace,3691
p,3697
a,3700
n,3704
y,3712
space,3718
s,3723
u,3727
c,3729
c,3734
s,3745
e,3749
s,3754
backspace,3762
backspace,3768
backspace,3772
e,3775
s,3780
s,3784
comma,3794
space,3797
a,3802
n,3805
d,3807
space,3811
w,3820
e,3827
space,3831
l,3836
o,3842
o,3846
k,3851
space,3856
d,3863
backspace,3876
f,3880
o,3883
r,3887
w,3910
a,3915
r,3919
d,3925
space,3929
t,3932
o,3936
space,3939
a,3947
c,3952
h,3957
i,3961
e,3965
v,3984
e,3993
i,4000
n,4004
g,4006
space,4011
e,4020
v,4024
e,4029
n,4033
space,4035
g,4042
r,4047
e,4054
a,4060
t,4064
e,4068
r,4072
space,4076
m,4084
i,4089
l,4094
e,4097
s,4112
o,4118
t,4121
backspace,4128
backspace,4133
t,4134
o,4138
n,4142
e,4143
s,4149
space,4154
t,4159
o,4162
g,4176
e,4182
t,4192
h,4199
e,4203
r,4206
period,4214
space,4218
o,4223
n,4226
e,4229
backspace,4240
c,4243
e,4250
space,4254
a,4264
g,4269
a,4273
i,4279
n,4283
space,4287
backspace,4298
comma,4305
space,4308
t,4312
h,4315
a,4323
n,4327
k,4330
space,4335
y,4340
o,4345
u,4349
space,4354
o,4359
r,4364
backspace,4372
backspace,4377
f,4380
o,4383
r,4386
space,4389
b,4398
e,4403
g,4408
i,4411
n,4416
g,4417
