Key,Frame
a,158
t,167
space,176
t,181
h,187
e,191
space,194
b,205
r,214
e,221
a,225
k,232
space,240
o,245
f,249
space,255
d,259
a,271
w,278
n,284
space,293
backspace,305
comma,317
space,324
5,332
space,337
a,347
d,354
v,366
e,373
n,379
t,382
r,389
u,394
backspace,414
backspace,420
u,444
r,450
e,457
r,464
s,469
space,476
s,480
e,486
t,491
s,497
space,501
o,507
backspace,519
backspace,523
backspace,528
space,546
o,550
f,555
f,562
space,567
a,578
backspace,592
o,602
n,608
space,617
a,625
space,632
t,637
r,643
a,650
i,654
l,661
space,669
m,673
a,677
r,682
k,688
e,691
d,698
space,705
b,710
y,715
space,722
s,728
i,733
g,740
n,750
p,768
o,776
s,780
t,786
s,792
space,804
l,810
a,814
b,820
l,824
backspace,850
e,856
l,862
e,867
d,873
space,879
a,894
space,900
t,905
o,910
space,919
z,927
period,938
space,946
a,954
space,985
q,992
u,995
i,1000
c,1006
k,1013
space,1021
b,1028
r,1036
o,1042
w,1046
n,1051
space,1057
f,1061
o,1068
x,1074
space,1079
s,1086
c,1093
u,1118
r,1124
r,1129
i,1134
e,1144
d,1150
space,1159
p,1166
a,1172
s,1191
t,1201
space,1208
7,1220
space,1224
c,1230
o,1236
l,1244
o,1248
r,1253
f,1263
u,1268
l,1275
space,1291
b,1300
t,1307
t,1322
backspace,1338
backspace,1343
u,1361
t,1368
t,1373
e,1381
r,1386
f,1395
l,1416
i,1421
e,1424
s,1430
space,1439
f,1446
u,1452
backspace,1477
l,1486
u,1503
t,1510
t,1515
e,1524
r,1527
i,1532
n,1536
g,1542
space,1546
n,1553
e,1558
a,1563
r,1569
space,1577
space,1617
backspace,1640
6,1651
space,1661
f,1669
r,1674
o,1677
g,1682
s,1689
space,1695
b,1704
a,1711
k,1735
i,1740
n,1745
g,1750
space,1757
o,1763
n,1768
space,1774
t,1780
h,1784
e,1790
space,1795
e,1806
d,1815
g,1821
e,1830
space,1838
o,1845
f,1850
space,1857
a,1863
space,1871
0,1884
space,1891
d,1897
e,1904
g,1914
r,1921
e,1926
e,1931
space,1939
s,1945
t,1950
r,1956
e,1960
a,1966
m,1989
period,2004
space,2011
i,2017
n,2022
space,2028
t,2034
h,2038
e,2044
space,2047
s,2057
i,2062
s,2069
backspace,2082
backspace,2087
backspace,2091
d,2105
i,2113
s,2117
t,2124
a,2131
n,2134
c,2139
e,2146
comma,2152
space,2158
9,2164
space,2171
d,2181
d,2188
backspace,2200
e,2218
e,2224
r,2230
space,2239
g,2245
r,2253
a,2259
z,2268
e,2276
d,2283
space,2291
p,2305
e,2315
a,2321
c,2335
e,2341
f,2349
u,2355
l,2361
l,2367
y,2373
space,2383
u,2387
n,2392
d,2399
e,2406
r,2413
space,2418
t,2424
h,2428
e,2434
space,2438
s,2443
h,2447
a,2460
d,2469
e,2475
space,2483
o,2492
f,2497
space,2503
1,2514
2,2522
space,2529
a,2544
n,2551
c,2556
i,2560
e,2566
n,2571
t,2574
space,2583
o,2588
a,2597
k,2604
s,2609
period,2623
space,2631
t,2639
h,2642
e,2647
space,2653
t,2660
r,2666
a,2671
v,2676
e,2683
l,2688
e,2701
r,2707
s,2714
space,2724
p,2732
a,2736
s,2747
backspace,2768
u,2780
s,2785
e,2791
d,2797
space,2803
t,2808
o,2812
space,2817
a,2823
d,2830
m,2840
i,2845
r,2851
e,2858
space,2866
8,2876
9,2882
space,2889
w,2896
i,2900
l,2907
d,2913
f,2939
l,2945
o,2951
w,2954
e,2962
r,2965
s,2972
space,2980
b,2986
l,2996
o,3002
o,3007
m,3011
i,3017
n,3022
g,3030
space,3035
i,3043
n,3048
space,3055
v,3064
i,3069
b,3081
r,3088
a,3094
n,3098
t,3104
space,3111
h,3117
u,3123
e,3126
s,3135
space,3144
a,3149
n,3153
d,3157
space,3164
c,3170
o,3177
u,3181
n,3188
t,3192
e,3199
d,3205
space,3210
3,3226
4,3236
5,3242
space,3251
p,3272
e,3280
b,3293
b,3296
l,3306
e,3310
s,3317
space,3324
f,3329
o,3336
r,3342
m,3348
i,3354
n,3360
g,3367
space,3375
a,3383
space,3391
n,3398
a,3404
t,3409
u,3415
r,3420
a,3428
l,3432
space,3439
m,3443
o,3449
s,3455
a,3471
i,3484
c,3490
space,3497
a,3502
l,3506
o,3512
n,3518
g,3523
space,3529
t,3535
e,3544
space,3548
a,3556
backspace,3569
p,3584
a,3590
t,3596
h,3601
period,3610
space,3617
b,3623
y,3629
space,3637
n,3640
i,3646
g,3650
h,3653
t,3658
f,3665
a,3670
l,3675
l,3680
comma,3688
space,3695
u,3701
n,3707
d,3711
e,3719
r,3725
a,3733
space,3739
s,3743
k,3750
y,3757
space,3766
g,3774
l,3787
i,3793
t,3799
t,3804
e,3814
r,3822
i,3831
n,3837
g,3841
space,3847
w,3851
i,3855
t,3860
h,3865
space,3872
6,3890
7,3897
8,3903
space,3911
s,3918
t,3924
a,3928
r,3932
s,3938
comma,3947
space,3954
t,3958
h,3963
e,3966
y,3972
space,3980
s,3985
h,3992
a,3997
r,4004
e,4010
d,4015
space,4020
s,4027
t,4034
o,4039
i,4047
e,4053
s,4060
space,4066
o,4069
f,4075
space,4082
d,4093
i,4101
s,4106
c,4112
o,4118
v,4121
e,4129
r,4133
y,4140
comma,4153
space,4159
m,4166
a,4171
r,4176
v,4182
e,4191
l,4202
i,4207
n,4212
g,4217
space,4223
w,4232
t,4235
space,4242
t,4249
backspace,4259
backspace,4263
backspace,4268
backspace,4272
a,4288
t,4293
space,4296
t,4301
h,4306
e,4311
space,4315
u,4321
n,4327
i,4332
t,4338
y,4342
space,4349
o,4352
f,4359
space,4364
n,4369
a,4373
t,4378
e,4390
r,4393
u,4403
backspace,4410
backspace,4415
backspace,4446
u,4456
r,4460
e,4464
s,4472
space,4480
l,4489
e,4492
e,4498
t,4507
backspace,4517
backspace,4520
t,4536
t,4541
e,4548
r,4551
s,4558
space,4566
a,4569
n,4576
space,4584
n,4598
u,4604
m,4610
b,4616
e,4624
r,4627
s,4633
period,4643
