Frame,Key
39,g
44,o
49,o
52,o
57,d
64,space
69,delete
74,delete
79,delete
89,d
96,space
101,a
106,f
113,t
119,e
120,r
128,n
132,o
138,o
144,n
175,comma
181,space
188,t
189,h
195,e
199,space
204,b
211,o
216,a
222,r
230,d
236,space
257,o
265,f
272,space
284,d
291,i
299,r
305,e
316,c
324,t
327,o
332,r
340,e
349,delete
361,s
406,space
459,m
465,e
471,e
478,t
482,i
487,n
493,g
505,s
511,space
540,h
547,a
550,v
557,e
564,space
581,b
594,e
603,n
620,delete
629,e
635,n
642,space
650,s
657,c
660,h
665,e
670,d
674,u
683,l
688,e
699,d
731,space
737,a
750,s
757,space
769,f
778,o
784,l
790,l
795,o
802,w
858,s
862,space
882,delete
887,delete
894,e
899,d
904,space
912,j
917,a
925,n
932,u
942,a
956,r
962,y
970,space
985,p
990,r
993,e
1002,v
1003,i
1007,o
1013,u
1018,s
1023,h
1038,delete
1049,l
1056,y
1065,space
1080,c
1084,o
1090,n
1094,f
1101,i
1107,r
1115,m
1121,e
1129,d
1134,space
1140,m
1141,a
1148,y
1155,space
1162,j
1169,u
1175,b
1185,l
1195,delete
1196,delete
1204,l
1212,y
1223,space
1235,o
1239,c
1254,t
1259,o
1272,b
1280,e
1298,r
1312,dot
1320,space
1327,t
1332,h
1336,e
1340,space
1344,t
1349,i
1356,m
1360,e
1366,space
1383,o
1388,f
1393,space
1399,e
1406,a
1413,c
1418,h
1439,space
1457,m
1463,e
1468,e
1473,t
1474,i
1479,n
1484,g
1487,space
1505,w
1510,i
1515,l
1519,l
1525,space
1533,b
1541,e
1546,space
1553,a
1560,m
1566,space
1571,t
1576,o
1583,space
1591,n
1597,o
1602,o
1606,n
1614,space
1635,h
1640,o
1645,w
1652,e
1660,v
1667,e
1671,r
1701,comma
1704,space
1713,u
1726,f
1735,delete
1742,delete
1751,f
1756,u
1760,r
1778,t
1782,h
1788,e
1793,r
1802,space
1816,l
1822,o
1834,g
1839,i
1843,s
1850,t
1877,i
1880,c
1883,a
1888,l
1896,space
1912,d
1917,e
1924,t
1931,a
1936,i
1941,l
1945,s
1950,space
1969,w
1974,i
1981,l
1985,l
1990,space
2007,b
2014,e
2017,space
2025,a
2032,n
2037,n
2045,o
2050,u
2057,n
2066,c
2082,e
2088,d
2096,space
2112,a
2118,t
2125,space
2131,a
2138,space
2146,l
2151,a
2160,t
2168,e
2172,r
2212,d
2217,a
2222,t
2240,delete
2245,delete
2249,delete
2259,space
2262,d
2268,a
2275,e
2287,delete
2289,t
2292,e
2297,space
2313,p
2318,r
2323,o
2328,r
2342,delete
2346,delete
2349,i
2356,o
2363,r
2373,space
2399,t
2405,o
2411,space
2441,e
2447,a
2454,c
2460,h
2468,space
2480,m
2484,e
2489,e
2498,t
2504,i
2510,n
2517,g
2540,dot
2548,space
2552,p
2560,l
2564,e
2571,a
2576,s
2581,e
2582,space
2590,f
2597,e
2609,l
2614,l
2627,space
2641,delete
2646,delete
2653,delete
2661,e
2665,l
2674,space
2681,f
2686,r
2692,e
2697,e
2707,space
2711,t
2715,o
2720,space
2728,c
2730,o
2735,n
2739,t
2745,e
2752,c
2766,delete
2771,delete
2780,a
2786,c
2792,t
2799,space
2823,e
2827,i
2832,t
2836,h
2844,e
2849,r
2857,delete
2875,r
2923,space
2943,k
2946,e
2953,i
2959,t
2965,h
2975,space
2989,l
2995,a
3002,r
3010,n
3014,e
3025,y
3048,space
3055,a
3061,t
3067,space
3075,delete
3083,comma
3086,space
3092,o
3096,r
3101,space
3106,m
3113,e
3118,space
3140,i
3144,f
3147,space
3154,y
3161,o
3164,u
3170,space
3172,s
3178,h
3184,o
3190,o
3200,delete
3208,u
3211,l
3220,d
3226,space
3249,h
3254,a
3258,v
3264,e
3267,space
3272,a
3277,n
3282,y
3288,space
3291,q
3297,u
3302,e
3307,s
3312,t
3317,i
3320,o
3325,n
3358,s
3365,space
3380,delete
3385,dot
3390,space
3393,t
3396,h
3401,a
3406,n
3411,k
3419,space
3424,y
3431,o
3434,u
3461,dot
