Key,Frame
a,94
s,101
space,109
t,115
h,119
e,124
space,129
s,134
u,139
n,145
space,150
s,156
e,161
t,166
space,173
o,180
v,185
e,191
r,198
space,202
t,210
h,214
e,218
space,224
h,236
i,242
l,248
l,254
s,259
comma,271
space,277
5,284
space,291
h,298
i,302
k,308
e,313
r,320
s,327
space,333
g,342
a,350
t,353
h,361
e,365
r,369
e,377
d,383
space,390
a,396
space,405
r,409
o,417
u,422
n,428
backspace,439
backspace,445
backspace,448
backspace,454
backspace,459
r,474
o,478
u,484
n,490
d,494
space,501
a,506
space,517
c,527
a,533
m,537
p,558
f,566
i,571
r,575
e,581
comma,592
space,599
t,605
h,608
e,614
r,617
i,624
backspace,640
backspace,645
i,656
r,662
space,672
b,677
a,683
c,688
k,694
g,700
backspace,712
p,722
a,728
c,733
k,737
s,743
space,753
e,761
m,768
b,775
r,783
o,790
i,796
d,806
e,813
r,818
e,824
d,831
space,840
w,845
i,850
t,855
h,861
space,866
l,872
e,878
e,885
t,892
e,900
r,903
s,909
backspace,920
backspace,925
backspace,930
backspace,934
backspace,938
t,956
t,961
e,967
r,970
s,980
space,985
f,994
r,1001
o,1007
m,1011
space,1018
a,1023
space,1032
t,1039
o,1047
space,1052
z,1061
space,1073
backspace,1097
period,1114
space,1122
a,1128
space,1149
q,1158
u,1163
i,1168
c,1173
k,1179
space,1187
b,1192
r,1200
o,1207
w,1213
n,1218
space,1224
f,1231
o,1236
x,1242
space,1248
d,1254
a,1261
r,1267
t,1274
e,1279
d,1287
space,1293
p,1299
a,1306
s,1312
t,1319
space,1327
7,1337
space,1343
c,1351
h,1355
i,1360
r,1365
p,1370
i,1377
n,1384
g,1388
space,1394
c,1407
r,1414
i,1418
c,1425
k,1432
e,1437
t,1442
s,1447
space,1454
a,1460
d,1468
n,1473
space,1481
backspace,1493
backspace,1499
backspace,1502
backspace,1507
a,1527
d,1535
space,1541
6,1563
space,1571
f,1578
r,1584
o,1587
g,1591
s,1597
space,1603
l,1612
e,1616
a,1622
p,1630
i,1635
n,1641
g,1646
space,1651
n,1659
e,1663
a,1670
r,1673
space,1682
t,1688
h,1693
e,1699
space,1702
0,1711
space,1718
d,1725
e,1731
g,1737
r,1744
e,1749
e,1754
space,1762
l,1770
a,1775
k,1787
e,1791
period,1805
space,1812
o,1818
v,1826
e,1832
r,1840
space,1844
h,1854
e,1858
backspace,1874
backspace,1878
backspace,1884
h,1902
e,1906
a,1913
d,1918
comma,1931
1,1936
9,1946
backspace,1963
backspace,1968
backspace,1973
space,1998
9,2004
space,2010
b,2020
a,2028
t,2033
s,2040
space,2046
f,2052
i,2057
backspace,2075
l,2085
i,2091
t,2098
t,2103
e,2108
e,2112
backspace,2129
d,2142
space,2149
t,2156
r,2163
backspace,2178
h,2191
r,2195
o,2198
u,2202
g,2207
h,2212
space,2221
t,2226
h,2229
e,2236
space,2240
t,2251
w,2256
i,2274
l,2281
i,2287
g,2293
h,2297
t,2301
comma,2313
space,2319
w,2326
h,2330
i,2335
l,2341
space,2350
backspace,2367
e,2376
space,2382
1,2392
2,2400
space,2409
f,2425
i,2430
r,2434
e,2442
f,2453
l,2457
i,2463
s,2473
space,2480
b,2487
l,2494
i,2501
n,2507
k,2512
e,2516
d,2523
space,2529
i,2535
n,2540
space,2547
r,2552
h,2568
y,2591
t,2598
h,2602
m,2610
space,2618
a,2625
m,2628
o,2633
n,2638
g,2643
space,2649
t,2654
h,2658
e,2663
space,2667
t,2676
r,2683
e,2688
e,2693
s,2702
period,2714
space,2719
t,2724
h,2728
e,2734
space,2738
h,2744
i,2749
k,2756
e,2769
r,2775
w,2782
space,2789
h,2795
backspace,2820
backspace,2827
backspace,2831
w,2844
space,2855
backspace,2876
backspace,2881
s,2891
space,2904
s,2915
a,2921
backspace,2941
backspace,2945
h,2960
a,2966
r,2972
e,2975
d,2983
space,2989
s,2994
t,2999
o,3003
r,3007
e,3014
i,3018
backspace,3037
backspace,3043
i,3060
e,3064
backspace,3082
backspace,3088
r,3104
i,3110
e,3113
w,3119
space,3125
o,3128
f,3135
space,3139
t,3144
backspace,3153
backspace,3158
backspace,3163
backspace,3168
backspace,3177
backspace,3183
s,3199
space,3205
o,3217
f,3223
space,3229
t,3235
h,3238
e,3248
i,3257
r,3262
space,3271
8,3284
9,3290
space,3297
m,3307
i,3313
l,3319
e,3326
space,3331
j,3338
o,3344
r,3347
backspace,3371
u,3386
r,3391
n,3398
e,3401
y,3409
comma,3418
space,3426
m,3429
a,3436
r,3440
v,3448
e,3459
l,3467
i,3473
n,3479
g,3484
space,3492
a,3500
t,3504
space,3509
t,3513
h,3518
e,3523
space,3527
b,3532
e,3538
a,3545
u,3554
backspace,3567
backspace,3573
backspace,3578
a,3600
u,3606
t,3611
h,3615
y,3624
space,3630
backspace,3640
backspace,3645
backspace,3667
y,3677
space,3684
o,3692
f,3697
space,3700
t,3707
h,3710
e,3717
space,3721
3,3747
4,3754
5,3767
space,3775
w,3784
i,3791
l,3800
d,3807
f,3827
o,3836
backspace,3851
l,3863
o,3868
w,3875
e,3884
r,3888
s,3896
space,3902
b,3909
l,3919
o,3925
o,3929
m,3934
i,3941
n,3946
g,3953
space,3976
i,3982
n,3987
space,3993
t,4000
h,4006
e,4011
space,4016
v,4024
a,4031
l,4038
l,4043
e,4047
y,4054
space,4060
backspace,4074
period,4090
space,4096
u,4102
n,4108
d,4113
e,4120
r,4125
space,4132
t,4138
h,4143
e,4147
space,4156
g,4162
l,4168
o,4174
w,4180
space,4188
f,4200
space,4208
6,4223
7,4230
8,4254
space,4272
s,4277
t,4283
a,4291
r,4296
s,4302
comma,4323
space,4330
t,4335
h,4339
e,4345
y,4351
space,4359
l,4365
a,4372
u,4378
g,4384
h,4389
e,4398
d,4405
space,4410
a,4417
n,4423
d,4428
space,4436
e,4443
m,4449
b,4454
r,4461
a,4467
c,4473
e,4479
d,4486
space,4495
t,4501
h,4506
e,4509
space,4514
h,4527
a,4533
r,4536
m,4541
o,4547
n,4553
e,4558
y,4564
space,4574
backspace,4583
backspace,4588
backspace,4593
y,4610
space,4615
o,4619
f,4626
space,4629
l,4635
e,4640
e,4646
backspace,4657
t,4667
t,4672
e,4679
r,4683
w,4689
space,4697
backspace,4717
backspace,4722
s,4738
comma,4744
space,4749
n,4755
u,4760
m,4765
b,4771
e,4779
r,4785
s,4794
comma,4801
space,4806
a,4811
n,4816
d,4821
space,4825
n,4835
a,4849
t,4854
u,4859
r,4864
e,4871
s,4881
space,4892
w,4898
o,4903
n,4910
d,4926
e,4933
r,4939
s,4945
period,4954
