Start frame,Key prediction,Idle Prob,Active Prob,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,comma,period,space,backspace
0,7,1.0,1.112158660672091e-25,2.0925080519209537e-21,1.0303363495722806e-08,5.460756189411536e-15,7.912924858153488e-31,7.85693627424372e-19,1.2071056273551654e-31,3.2104676550993443e-24,3.5660785922590566e-30,2.1361512804178592e-19,3.821621171906641e-41,2.065202115375341e-16,1.775775183157501e-19,0.022562704980373383,1.3920928682416775e-22,2.2478817852250588e-13,1.6768522423395936e-32,2.4325525570131036e-28,1.517152128271896e-34,2.3333291277607593e-28,1.2752705703834683e-21,3.1943861169525516e-27,2.338244780909143e-23,1.216437690695191e-25,3.014452308186534e-29,1.6977393705217242e-16,5.273557249387125e-16,0.04037594795227051,0.15585514903068542,1.7009745426790218e-23,2.202014635022492e-30
1,7,1.0,7.73293918547833e-25,3.59039764362559e-21,9.429125036319874e-09,7.272509688644596e-15,7.9617473703228e-31,8.800809840749017e-19,7.104183569293403e-32,4.900319535116067e-24,8.415542732678081e-30,3.4564398470139475e-19,6.093266112423602e-41,1.6144201805716669e-16,1.0839679769745754e-19,0.027008604258298874,2.502125175051344e-22,2.8699725972483603e-13,1.840274462841899e-32,2.758688570830666e-28,1.0081631891602157e-34,3.2938929467962124e-28,1.7287678983510475e-21,6.122499707955935e-27,2.4129973980600672e-23,1.0917164396489366e-25,3.6291456509320856e-29,1.7029573581746067e-16,7.550722212972363e-16,0.027987608686089516,0.26857075095176697,1.3428970093916347e-23,3.768260611334952e-30
2,2,1.0,1.5366634289090007e-33,1.961817850054744e-44,5.690120454286924e-34,2.4830916751449453e-33,0.0,1.9920888823413457e-31,0.0,0.0,0.0,0.0,0.0,3.2229864679470793e-44,0.0,2.740393632502669e-13,0.0,1.3434966130993624e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7996466348628447e-38,5.4510510262235384e-42,5.886595681658946e-05,8.578176391438319e-08,0.0,0.0
3,2,1.0,1.731842161944648e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7217107425792683e-25,0.0,3.134959550366166e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5922362386899813e-11,1.5973222744491977e-11,0.0,0.0
4,2,1.0,7.171296141733297e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03952833265066147,0.0,2.466471824545064e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37175825238227844,0.1609511375427246,0.0,0.0
5,m,1.0,4.8801900578268944e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.545375497085832e-20,2.1664306773041853e-26,0.0,0.0
6,m,1.0,2.942726775082116e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8188869007977575e-21,2.4615691417163354e-22,0.0,0.0
7,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5364985860688472e-19,7.330122352584419e-24,0.0,0.0
8,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1487102661457586e-18,1.2026318606448213e-24,0.0,0.0
9,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.90823733202177e-24,9.592701718918082e-28,0.0,0.0
10,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6376901865005493,0.0,4.932249858953024e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.976877243656475e-10,5.126703840024953e-23,0.0,0.0
11,2,1.0,0.0,0.0,1.018268663125043e-37,0.0,0.0,9.199272184568846e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7711699989472947e-25,0.0,5.1310023519545605e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1253151171996926e-16,1.8529479670232131e-31,0.0,0.0
12,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45,0.0,2.2731667506492177e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0144908331275753e-29,1.401298464324817e-45,0.0,0.0
13,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.958034344201067e-41,0.0,0.0,0.0
14,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.356149748843043e-37,0.0,3.318274763521167e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7361980175214e-39,0.0,0.0,0.0
15,2,1.0,0.0,0.0,5.035706161397663e-41,0.0,0.0,2.2036773911590198e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1270518962547271e-09,0.0,1.5641013103792717e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.162285114791983e-25,7.45473406919845e-39,1.6815581571897805e-44,0.0
16,7,1.0,1.322490024566445e-26,1.1827328443106212e-22,7.252851652594927e-09,1.1285883929875243e-15,5.018574766164055e-33,8.629633472528206e-20,5.096711712373136e-33,2.6458249314883336e-25,5.392184192801017e-32,1.5974303578883798e-20,1.0369608636003646e-43,2.2431027247514875e-17,1.886983961960287e-21,0.044723931699991226,3.909994204323829e-24,2.4941557676062993e-14,1.4631589406326176e-34,6.751670163778417e-30,7.442522593860938e-37,1.715641528188974e-30,3.67074839010231e-23,4.264550564670199e-29,1.5840407835080702e-24,2.3365156751502452e-27,7.3780942066367e-31,1.7811135845261285e-17,3.500646219425644e-17,0.10402632504701614,0.08573013544082642,8.398861049001304e-25,3.7656726429721816e-32
17,2,1.0,2.550029799172225e-35,1.401298464324817e-45,1.902744925438449e-34,2.2798951706488277e-34,0.0,1.8110070044951257e-32,0.0,0.0,0.0,0.0,0.0,4.203895392974451e-45,0.0,3.4926122866214826e-13,0.0,1.595328807193322e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4214435310479506e-39,3.4892331761687945e-43,6.442378071369603e-05,3.4927676750839964e-08,0.0,0.0
18,2,1.0,1.3239074002758132e-35,0.0,8.674037494170618e-43,0.0,0.0,4.6556880308574155e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.481521202113475e-15,0.0,2.5691927644838686e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.035739577255473e-43,0.0,3.1140946248342516e-06,3.5543191643228056e-06,0.0,0.0
19,m,1.0,2.0793335418699517e-39,0.0,4.9501092460028455e-39,1.401298464324817e-45,0.0,1.6815581571897805e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999840259552002,0.0,3.3129181103348925e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2369994525903274e-43,0.0,1.531405905552674e-05,4.823064614356554e-07,0.0,0.0
20,m,1.0,6.74024561340237e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.162715444351714e-18,1.4537073294630407e-26,0.0,0.0
21,m,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.390866170241315e-21,5.963408650085816e-27,0.0,0.0
22,3,1.0,0.0,0.0,8.443277456593978e-35,7.987401246651457e-44,0.0,1.755194569802046e-38,0.0,0.0,0.0,1.401298464324817e-45,0.0,0.0,0.0,4.743927206618537e-08,0.0,1.3396033303891738e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9646204469833935e-41,0.0,1.277452449377492e-10,8.498281435405341e-26,0.0,0.0
23,2,1.0,0.0,0.0,2.8942435297746344e-38,4.203895392974451e-45,0.0,2.342971032351094e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.894979280389293e-11,0.0,3.5205404656231845e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.60836950325915e-14,4.599850634645642e-28,0.0,0.0
